Prefix,Primary City,Company,County,Usage,Introduced
(610) 200-,"Glenolden, PA",Core Communications,Delaware,Landline,3/21/01
(610) 202-,"Paoli, PA","Omnipoint Communications Enterprises, L.p.",Chester,Cell Number,4/1/97
(610) 203-,"Villanova, PA","Omnipoint Communications Enterprises, L.p.",Delaware,Cell Number,4/1/97
(610) 204-,"Allentown, PA",Schuylkill Mobile Fone,Lehigh,Cell Number,10/15/96
(610) 205-,"King Of Prussia, PA",Verizon Pennsylvania,Montgomery,Landline,1/11/97
(610) 206-,"Merion Station, PA",Verizon Pennsylvania,Montgomery,Landline,1/10/96
(610) 207-,"Reading, PA",Cellco Partnership DBA Verizon Wireless,Berks,Cell Number,9/11/94
(610) 208-,"Reading, PA",Verizon Pennsylvania,Berks,Landline,2/4/94
(610) 209-,"Norristown, PA",New Cingular Wireless PCS - DC,Montgomery,Cell Number,10/15/96
(610) 212-,"Norristown, PA",Cellco Partnership DBA Verizon Wireless,Montgomery,Cell Number,1/10/96
(610) 213-,"Norristown, PA",Cellco Partnership DBA Verizon Wireless,Montgomery,Cell Number,1/10/96
(610) 214-,"Coopersburg, PA",Core Communications,Lehigh,Landline,3/12/09
(610) 216-,"Bethlehem, PA",Cellco Partnership DBA Verizon Wireless,Northampton,Cell Number,2/4/94
(610) 217-,"Bethlehem, PA",Cellco Partnership DBA Verizon Wireless,Northampton,Cell Number,1/10/96
(610) 218-,"Allentown, PA",Usa Mobility Wireless,Lehigh,Cell Number,1/10/96
(610) 219-,"Paoli, PA",Verizon Pennsylvania,Chester,Landline,2/4/94
(610) 220-,"Norristown, PA",Cellco Partnership DBA Verizon Wireless,Montgomery,Cell Number,9/11/94
(610) 221-,"Bryn Mawr, PA",Usa Mobility Wireless,Montgomery,Cell Number,4/15/96
(610) 222-,"Lansdale, PA",Verizon Pennsylvania,Montgomery,Landline,1/10/96
(610) 223-,"Reading, PA",Cellco Partnership DBA Verizon Wireless,Berks,Cell Number,1/10/96
(610) 224-,"Slatington, PA",Service Electric Telephone Company,Lehigh,Landline,3/19/01
