Prefix,Primary City,Company,County,Usage,Introduced
(763) 200-,"Cambridge, MN",Cellco Partnership DBA Verizon Wireless,Isanti,Cell Number,11/2/10
(763) 201-,"Minneapolis, MN",Xo Minnesota,Hennepin,Landline,2/22/01
(763) 202-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,7/6/07
(763) 203-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,10/6/11
(763) 205-,"Minneapolis, MN",Comcast Phone Of Minnesota,Hennepin,Landline,6/13/00
(763) 206-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,11/16/11
(763) 207-,"Big Lake, MN",Wireless Communications Venture,Sherburne,Cell Number,3/13/09
(763) 208-,"Roseville, MN",Comcast Phone Of Minnesota,Ramsey,Landline,6/13/00
(763) 209-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,11/16/11
(763) 210-,"Minneapolis, MN",Xo Minnesota,Hennepin,Landline,2/6/01
(763) 212-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 213-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 214-,"Minneapolis, MN",Usa Mobility Wireless,Hennepin,Landline,3/28/01
(763) 215-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,11/30/11
(763) 216-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,2/1/12
(763) 217-,"Big Lake, MN",Wireless Communications Venture,Sherburne,Cell Number,5/3/12
(763) 218-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,4/3/03
(763) 219-,"Cambridge, MN",Level 3 Communications,Isanti,Landline,2/21/02
(763) 220-,"Princeton, MN",Bandwidth.com Clec,Mille Lacs,Landline,5/13/11
(763) 221-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,4/19/01
(763) 222-,"Minneapolis, MN","Velocity Telephone, Incorporated",Hennepin,Landline,1/24/03
(763) 223-,"Coon Rapids, MN",Windstream Northstar - Min,Anoka,Landline,6/13/00
(763) 224-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,7/5/11
(763) 225-,"Minneapolis, MN",Global Crossing Local Services-mn,Hennepin,Landline,6/13/00
(763) 226-,"Minneapolis, MN",Tw Telecom Of Minnesota LLC,Hennepin,Landline,2/8/01
(763) 227-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,4/19/01
(763) 228-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,7/11/01
(763) 229-,"Minneapolis, MN",Cellco Partnership DBA Verizon Wireless,Hennepin,Cell Number,12/27/02
(763) 230-,"Plymouth, MN",Onvoy,Hennepin,Landline,6/13/00
(763) 231-,"Minneapolis, MN",Popp Communications-mn,Hennepin,Landline,9/12/01
(763) 232-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,12/17/01
(763) 233-,"Golden Valley, MN",Popp Communications-mn,Hennepin,Landline,8/27/09
(763) 234-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,9/16/02
(763) 235-,"Minneapolis, MN",Enventis Telecom,Hennepin,Landline,3/17/03
(763) 236-,"Anoka, MN",Qwest Corporation,Anoka,Landline,6/13/00
(763) 237-,"Cambridge, MN",Enventis Telecom,Isanti,Landline,2/4/03
(763) 238-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,1/13/03
(763) 239-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,9/15/11
(763) 240-,"Big Lake, MN",Wireless Communications Venture,Sherburne,Cell Number,5/30/12
(763) 241-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 242-,"Minneapolis, MN",Cellco Partnership DBA Verizon Wireless,Hennepin,Cell Number,12/26/01
(763) 243-,"Princeton, MN",Enventis Telecom,Mille Lacs,Landline,2/4/03
(763) 244-,"Cambridge, MN",Cellco Partnership DBA Verizon Wireless,Isanti,Cell Number,8/2/05
(763) 245-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,2/24/03
(763) 246-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,7/24/12
(763) 248-,"Minnetonka, MN",Cellco Partnership DBA Verizon Wireless,Hennepin,Cell Number,8/18/09
(763) 249-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 250-,"Cambridge, MN",Cellco Partnership DBA Verizon Wireless,Isanti,Cell Number,2/27/09
(763) 251-,,Level 3 Communications,,Unknown,7/7/14
(763) 252-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(763) 253-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(763) 254-,"Minneapolis, MN",American Messaging (am),Hennepin,Landline,6/13/00
(763) 255-,"Minneapolis, MN",AT&T Local,Hennepin,Landline,6/13/00
(763) 256-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,10/16/12
(763) 257-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 258-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 259-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(763) 260-,"Princeton, MN",Cellco Partnership DBA Verizon Wireless,Mille Lacs,Cell Number,10/21/08
(763) 261-,"Becker, MN",Sherburne County Rural Telephone Co.,Sherburne,Landline,6/13/00
(763) 262-,"Big Lake, MN",Sherburne County Rural Telephone Co.,Sherburne,Landline,6/13/00
(763) 263-,"Big Lake, MN",Sherburne County Rural Telephone Co.,Sherburne,Landline,6/13/00
(763) 264-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,10/6/10
(763) 265-,"Monticello, MN",Bridge Water Telephone Co.,Wright,Landline,10/5/11
(763) 266-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,10/5/10
(763) 267-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,7/30/07
(763) 268-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 269-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,9/30/08
(763) 270-,"Minneapolis, MN",Centurylink Communications LLC,Hennepin,Landline,10/4/10
(763) 271-,"Monticello, MN",Bridge Water Telephone Co.,Wright,Landline,6/13/00
(763) 272-,"Monticello, MN",Bridge Water Telephone Co.,Wright,Landline,11/13/07
(763) 273-,"Osseo, MN",Mcc Telephony Of Minnesota,Hennepin,Landline,4/21/10
(763) 274-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 275-,"Becker, MN",Big River Telephone Company,Sherburne,Landline,12/22/09
(763) 276-,"Minneapolis, MN",Xo Minnesota,Hennepin,Landline,8/25/10
(763) 277-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(763) 278-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(763) 279-,"Minneapolis, MN",Centurylink Communications LLC,Hennepin,Landline,6/13/00
(763) 280-,"Cambridge, MN",Cellco Partnership DBA Verizon Wireless,Isanti,Cell Number,8/11/10
(763) 281-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,10/6/10
(763) 282-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,10/6/10
(763) 286-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Landline,6/13/00
(763) 287-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 289-,"Minneapolis, MN",Usa Mobility Wireless,Hennepin,Landline,6/13/00
(763) 291-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Landline,8/20/00
(763) 293-,"Golden Valley, MN",Qwest Corporation,Hennepin,Landline,2/14/01
(763) 295-,"Monticello, MN",Bridge Water Telephone Co.,Wright,Landline,6/13/00
(763) 300-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,6/30/01
(763) 301-,"Cambridge, MN",Cellco Partnership DBA Verizon Wireless,Isanti,Cell Number,9/24/12
(763) 302-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 303-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,11/12/12
(763) 304-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,3/7/13
(763) 305-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,10/6/10
(763) 307-,"Cambridge, MN",Cellco Partnership DBA Verizon Wireless,Isanti,Cell Number,2/1/13
(763) 308-,"Princeton, MN",Peerless Network Of Minnesota,Mille Lacs,Landline,4/11/13
(763) 310-,"Cambridge, MN",Level 3 Communications,Isanti,Landline,5/29/13
(763) 314-,"Monticello, MN",Fibernet Monticello,Wright,Landline,9/23/09
(763) 315-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 316-,"Osseo, MN",Aerial Communications,Hennepin,Cell Number,7/10/13
(763) 322-,"Minneapolis, MN",Xo Minnesota,Hennepin,Landline,6/10/04
(763) 323-,"Anoka, MN",Qwest Corporation,Anoka,Landline,6/13/00
(763) 331-,"Minneapolis, MN",Comcast Phone Of Minnesota,Hennepin,Landline,9/25/07
(763) 333-,"Cambridge, MN",Enventis Telecom,Isanti,Landline,9/10/12
(763) 350-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,2/27/02
(763) 351-,"Osseo, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,8/2/13
(763) 354-,"Minneapolis, MN",Mcimetro Access Transmission Services LLC,Hennepin,Landline,6/13/00
(763) 355-,"Minneapolis, MN",Mcimetro Access Transmission Services LLC,Hennepin,Landline,6/13/00
(763) 360-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Landline,5/14/01
(763) 367-,"Minneapolis, MN",AT&T Local,Hennepin,Landline,8/20/00
(763) 370-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,11/5/01
(763) 374-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 377-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 381-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 383-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 389-,"Princeton, MN",Qwest Corporation,Mille Lacs,Landline,6/13/00
(763) 390-,"Minneapolis, MN",Broadwing Communications,Hennepin,Landline,6/30/01
(763) 391-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 392-,"Minneapolis, MN",Global Crossing Local Services-mn,Hennepin,Landline,6/13/00
(763) 398-,"Minneapolis, MN",Eschelon Telecom Of Minnesota,Hennepin,Landline,6/13/00
(763) 400-,"Minneapolis, MN",Level 3 Communications,Hennepin,Landline,3/2/11
(763) 404-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 405-,"Minneapolis, MN",Tw Telecom Of Minnesota LLC,Hennepin,Landline,7/21/06
(763) 412-,"Minneapolis, MN",Mcimetro Access Transmission Services LLC,Hennepin,Landline,6/13/00
(763) 413-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 416-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 417-,"Golden Valley, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 420-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 421-,"Anoka, MN",Qwest Corporation,Anoka,Landline,6/13/00
(763) 422-,"Anoka, MN",Qwest Corporation,Anoka,Landline,6/13/00
(763) 424-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 425-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 427-,"Anoka, MN",Qwest Corporation,Anoka,Landline,6/13/00
(763) 428-,"Rogers, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,6/13/00
(763) 431-,"Minneapolis, MN",Xo Minnesota,Hennepin,Landline,6/10/04
(763) 432-,"Minneapolis, MN","Crystal Communications, Inc DBA Enventis",Hennepin,Landline,10/6/06
(763) 433-,"Anoka, MN",Qwest Corporation,Anoka,Landline,6/13/00
(763) 434-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 438-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,8/20/00
(763) 439-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,8/20/00
(763) 440-,"Minneapolis, MN",Tw Telecom Of Minnesota LLC,Hennepin,Landline,1/18/01
(763) 441-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 442-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Landline,5/15/01
(763) 443-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Landline,1/30/01
(763) 444-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 445-,"Osseo, MN",Embarq Minnesota DBA Centurylink,Hennepin,Landline,5/9/03
(763) 447-,"Osseo, MN",Tw Telecom Of Minnesota LLC,Hennepin,Landline,12/20/06
(763) 449-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(763) 450-,"Golden Valley, MN",U.s. Link,Hennepin,Landline,10/31/00
