Prefix,Primary City,Company,County,Usage,Introduced
(878) 201-,"Rochester, PA",Peerless Network Of Pennsylvania,Beaver,Landline,4/17/13
(878) 202-,"Sharon, PA","Time Warner Cable Information Svcs (pa), Pa",Mercer,Landline,5/31/13
(878) 222-,"New Wilmington, PA",Voxbeam Telecommunications Inc.,Lawrence,Landline,7/10/13
(878) 258-,"Freeport, PA",Salsgiver Telecom,Armstrong,Landline,4/1/14
(878) 295-,"Greensburg, PA",Aerial Communications,Westmoreland,Cell Number,4/1/14
(878) 302-,"Pittsburgh, PA",Peerless Network Of Pennsylvania,Allegheny,Landline,4/17/13
(878) 332-,"Wexford, PA",Level 3 Communications,Allegheny,Landline,1/28/14
(878) 422-,"Freeport, PA",Salsgiver Telecom,Armstrong,Landline,4/1/14
(878) 444-,"Homer City, PA",Voxbeam Telecommunications Inc.,Indiana,Landline,8/12/13
(878) 777-,"Derry, PA",Voxbeam Telecommunications Inc.,Westmoreland,Landline,5/9/13
(878) 888-,"Aultman, PA",Voxbeam Telecommunications Inc.,Indiana,Landline,4/25/13
