Prefix,Primary City,Company,County,Usage,Introduced
(205) 200-,"Springville, AL",Powertel Birmingham Licenses,Saint Clair,Cell Number,12/13/2010
(205) 201-,"Birmingham, AL",Bright House Ntws Information Svcs (alabama),Jefferson,Landline,9/24/2007
(205) 202-,"Birmingham, AL",Bright House Ntws Information Svcs (alabama),Jefferson,Landline,5/27/2008
(205) 203-,"Birmingham, AL",Birch Communications,Jefferson,Landline,6/14/2013
(205) 204-,,Bellsouth Telecomm Inc DBA South Central Bell Tel,,Unknown,
(205) 206-,"Birmingham, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Jefferson,Landline,1/10/1996
(205) 207-,"Springville, AL",Powertel Birmingham Licenses,Saint Clair,Cell Number,10/21/2011
(205) 208-,"Birmingham, AL",Big River Telephone Company,Jefferson,Landline,8/3/2011
(205) 209-,"Birmingham, AL",Cellco Partnership DBA Verizon Wireless,Jefferson,Cell Number,12/13/2011
(205) 210-,"Tuscaloosa, AL",Sprint Spectrum L.p.,Tuscaloosa,Landline,5/10/2001
(205) 212-,"Birmingham, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Jefferson,Landline,1/14/2000
(205) 213-,"Birmingham, AL",New Cingular Wireless PCS - GA,Jefferson,Cell Number,10/15/1996
(205) 214-,"Birmingham, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Jefferson,Landline,7/1/1996
(205) 215-,"Birmingham, AL",New Cingular Wireless PCS - GA,Jefferson,Cell Number,6/13/2000
(205) 216-,"Alabaster, AL",Network Telephone Corporation,Shelby,Landline,3/3/2001
(205) 217-,"Clanton, AL",Cellco Partnership DBA Verizon Wireless,Chilton,Cell Number,2/4/1994
(205) 218-,"Birmingham, AL",Powertel Birmingham Licenses,Jefferson,Cell Number,11/4/2002
(205) 219-,"Tuscaloosa, AL",Sprint Spectrum L.p.,Tuscaloosa,Cell Number,10/31/2000
(205) 220-,"Birmingham, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Jefferson,Landline,10/13/1999
(205) 221-,"Jasper, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Walker,Landline,2/4/1994
(205) 222-,"Birmingham, AL",Powertel Birmingham Licenses,Jefferson,Cell Number,10/15/1996
(205) 223-,"Birmingham, AL",Powertel Birmingham Licenses,Jefferson,Cell Number,7/6/1997
(205) 224-,"Birmingham, AL",Pine Belt Broadcasting DBA Pine Belt Tel Comp Svcs,Jefferson,Landline,3/7/2013
(205) 225-,"Centreville, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Bibb,Landline,6/13/2000
(205) 226-,"Birmingham, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Jefferson,Landline,7/22/1999
(205) 227-,"Pell City, AL",Deltacom,Saint Clair,Landline,7/6/1997
(205) 228-,"Trussville, AL",Deltacom,Jefferson,Landline,2/4/1994
(205) 229-,"Birmingham, AL",Sprint Spectrum L.p.,Jefferson,Cell Number,2/4/1994
(205) 230-,"Bessemer, AL",Network Telephone Corporation,Jefferson,Landline,3/3/2001
(205) 231-,"Birmingham, AL",Bellsouth Telecomm Inc DBA South Central Bell Tel,Jefferson,Landline,7/22/1999
(205) 232-,"Winfield, AL",Centurytel Tel Al LLC (northern) DBA Centurylink,Marion,Landline,1/30/2003
(205) 233-,"Tuscaloosa, AL",Sprint Spectrum L.p.,Tuscaloosa,Cell Number,1/14/2000
