Prefix,Primary City,Company,County,Usage,Introduced
(952) 200-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,6/13/00
(952) 201-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,3/20/01
(952) 202-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,12/10/12
(952) 203-,"Minneapolis, MN",Usa Mobility Wireless,Hennepin,Cell Number,6/13/00
(952) 204-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,11/22/13
(952) 205-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,4/15/13
(952) 210-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Landline,4/11/01
(952) 212-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,5/22/01
(952) 215-,"Minneapolis, MN",Aerial Communications,Hennepin,Landline,3/14/03
(952) 216-,"Mound, MN",Xo Minnesota,Hennepin,Landline,12/13/04
(952) 217-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Landline,8/20/00
(952) 220-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,7/11/01
(952) 221-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,2/13/02
(952) 222-,"Minneapolis, MN",Neutral Tandem-minnesota,Hennepin,Landline,9/23/13
(952) 223-,"Apple Valley, MN",Broadwing Communications,Dakota,Landline,10/31/01
(952) 224-,"Minneapolis, MN",Integra Telecom Of Minnesota,Hennepin,Landline,2/25/02
(952) 225-,"Minneapolis, MN",Global Crossing Local Services-mn,Hennepin,Landline,8/20/00
(952) 226-,"Prior Lake, MN",Scott Rice Tel Co. DBA Integra Telecom,Scott,Landline,6/13/00
(952) 227-,"Chaska, MN",Centurylink Communications LLC,Carver,Landline,6/13/00
(952) 228-,,Scott Rice Tel Co. DBA Integra Telecom,,Unknown,5/30/14
(952) 229-,"Minneapolis, MN",Teleport Communications America,Hennepin,Landline,6/13/00
(952) 230-,"Plymouth, MN",Onvoy,Hennepin,Landline,6/13/00
(952) 231-,"Minneapolis, MN",Usa Mobility Wireless,Hennepin,Landline,6/13/00
(952) 232-,"Apple Valley, MN",Level 3 Communications,Dakota,Landline,5/9/03
(952) 233-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(952) 235-,"Minneapolis, MN",Usa Mobility Wireless,Hennepin,Cell Number,6/13/00
(952) 236-,"Apple Valley, MN",Onvoy,Dakota,Landline,5/2/04
(952) 237-,"Minneapolis, MN",Cellco Partnership DBA Verizon Wireless,Hennepin,Cell Number,12/27/02
(952) 238-,"Hopkins, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(952) 239-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,12/17/01
(952) 240-,"Minneapolis, MN",Cellco Partnership DBA Verizon Wireless,Hennepin,Cell Number,12/26/01
(952) 241-,"Mound, MN",Xo Minnesota,Hennepin,Landline,11/11/03
(952) 242-,"New Market, MN",Mcc Telephony Of Minnesota,Scott,Landline,6/1/06
(952) 244-,"Minneapolis, MN",American Messaging (am),Hennepin,Landline,6/13/00
(952) 249-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(952) 250-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Landline,3/7/01
(952) 252-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(952) 253-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(952) 255-,"Mound, MN",Xo Minnesota,Hennepin,Landline,12/13/04
(952) 258-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(952) 259-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(952) 261-,"Wayzata, MN",Qwest Corporation,Hennepin,Landline,2/5/01
(952) 270-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,10/11/01
(952) 277-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(952) 278-,"Minneapolis, MN",Ovation Communications Of Minnesota,Hennepin,Landline,6/13/00
(952) 279-,"Minneapolis, MN",Centurylink Communications LLC,Hennepin,Landline,8/20/00
(952) 283-,"New Market, MN",Mcc Telephony Of Minnesota,Scott,Landline,3/15/10
(952) 285-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(952) 288-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,3/7/06
(952) 290-,"New Prague, MN",New Cingular Wireless PCS - IL,Scott,Landline,6/13/00
(952) 292-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Landline,6/13/00
(952) 294-,"Minneapolis, MN",Qwest Corporation,Hennepin,Landline,6/13/00
(952) 297-,"Minneapolis, MN",Centurylink Communications LLC,Hennepin,Landline,6/13/00
(952) 300-,"Minneapolis, MN",Frontier Communications Of Minnesota,Hennepin,Landline,1/20/11
(952) 303-,"Minneapolis, MN",Jaguar Communications,Hennepin,Landline,8/30/06
(952) 314-,"Chaska, MN",Level 3 Communications,Carver,Landline,10/25/02
