Prefix,Primary City,Company,County,Usage,Introduced
(208) 200-,"Idaho Falls, ID",Syringa Wireless,Bonneville,Cell Number,3/21/01
(208) 201-,"Idaho Falls, ID",New Cingular Wireless PCS,Bonneville,Cell Number,9/30/03
(208) 202-,"Boise, ID",Joseph B. Mcneal DBA Pagedata,Ada,Cell Number,1/7/04
(208) 203-,"Burley, ID",Joseph B. Mcneal DBA Pagedata,Cassia,Cell Number,1/7/04
(208) 204-,"Idaho Falls, ID",Joseph B. Mcneal DBA Pagedata,Bonneville,Cell Number,1/7/04
(208) 205-,"Hailey, ID",Joseph B. Mcneal DBA Pagedata,Blaine,Cell Number,1/7/04
(208) 206-,"Idaho Falls, ID",Sprint Spectrum L.p.,Bonneville,Cell Number,6/30/01
(208) 207-,"Payette, ID",Joseph B. Mcneal DBA Pagedata,Payette,Cell Number,1/7/04
(208) 209-,"Coeur D Alene, ID",Xo Idaho,Kootenai,Landline,10/31/00
(208) 210-,"Jerome, ID",Joseph B. Mcneal DBA Pagedata,Jerome,Cell Number,1/7/04
(208) 212-,"Twin Falls, ID",Syringa Wireless,Twin Falls,Landline,3/27/01
(208) 213-,"Inkom, ID",Joseph B. Mcneal DBA Pagedata,Bannock,Cell Number,1/7/04
(208) 214-,"Harrison, ID",Level 3 Communications,Kootenai,Landline,7/17/02
(208) 215-,"Coeur D Alene, ID",Onvoy,Kootenai,Landline,5/4/04
(208) 216-,"Bayview, ID",Xo Idaho,Kootenai,Landline,11/15/12
(208) 218-,"Murtaugh, ID",Centurylink Communications LLC,Twin Falls,Cell Number,6/27/14
(208) 219-,"Burley, ID",Sprint Spectrum L.p.,Cassia,Cell Number,8/17/01
(208) 220-,"American Falls, ID",Cellco Partnership DBA Verizon Wireless,Power,Cell Number,2/4/94
(208) 221-,"Pocatello, ID",Cellco Partnership DBA Verizon Wireless,Bannock,Cell Number,2/4/94
(208) 222-,"Bayview, ID",Midvale Telephone Exchange,Kootenai,Landline,2/4/94
(208) 223-,"Pocatello, ID",Syringa Wireless,Bannock,Cell Number,6/30/01
(208) 224-,"Genesee, ID",Inland Telephone Co.,Latah,Landline,1/10/96
(208) 225-,"Geneva, ID",Qwest Corporation,Bear Lake,Landline,1/10/96
(208) 226-,"American Falls, ID",Qwest Corporation,Power,Landline,2/4/94
(208) 227-,"Idaho Falls, ID",Qwest Corporation,Bonneville,Landline,5/10/99
(208) 228-,"Roberts, ID",Qwest Corporation,Jefferson,Landline,2/4/94
(208) 229-,"Boise, ID",Ctc Telecom,Ada,Landline,7/22/99
(208) 230-,"Payette, ID",T-mobile Usa,Payette,Cell Number,7/6/97
(208) 231-,"Worley, ID",Frontier Communications Northwest Inc. - WA,Kootenai,Landline,1/10/96
(208) 232-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 233-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 234-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 235-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 236-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 237-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 238-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 239-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 240-,"Pocatello, ID",Cellco Partnership DBA Verizon Wireless,Bannock,Cell Number,4/15/96
(208) 241-,"Pocatello, ID",Cellco Partnership DBA Verizon Wireless,Bannock,Cell Number,2/4/94
(208) 242-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 243-,"Idaho Falls, ID",Sprint Spectrum L.p.,Bonneville,Cell Number,4/10/01
(208) 244-,"Pocatello, ID",Cellco Partnership DBA Verizon Wireless,Bannock,Cell Number,10/11/97
(208) 245-,"St Maries, ID",Frontier Communications Northwest,Benewah,Landline,2/4/94
(208) 246-,"Boise, ID",Electric Lightwave DBA Integra Telecom,Ada,Landline,7/22/99
(208) 247-,"Boise, ID",Tw Telecom Of Idaho LLC,Ada,Landline,1/14/00
(208) 248-,"Boise, ID",Tw Telecom Of Idaho LLC,Ada,Landline,1/14/00
(208) 249-,"Nampa, ID",New Cingular Wireless PCS,Canyon,Cell Number,2/4/94
(208) 250-,"Nampa, ID",New Cingular Wireless PCS,Canyon,Cell Number,2/4/94
(208) 251-,"Pocatello, ID",Cellco Partnership DBA Verizon Wireless,Bannock,Cell Number,2/4/94
(208) 252-,"Pocatello, ID",Cellco Partnership DBA Verizon Wireless,Bannock,Cell Number,5/18/98
(208) 253-,"Council, ID",Cambridge Telephone Company,Adams,Landline,2/4/94
(208) 254-,"Mccammon, ID",Qwest Corporation,Bannock,Landline,2/4/94
(208) 255-,"Sandpoint, ID",Frontier Communications Northwest,Bonner,Landline,4/1/97
(208) 256-,"Indian Valley, ID",Cambridge Telephone Company,Adams,Landline,2/4/94
(208) 257-,"Cambridge, ID",Cambridge Telephone Company,Washington,Landline,2/4/94
(208) 258-,"Boise, ID",Electric Lightwave DBA Integra Telecom,Ada,Landline,8/25/10
(208) 259-,"Lowman, ID",Cambridge Telephone Company,Boise,Landline,2/4/94
(208) 260-,"Rupert, ID",Cellco Partnership DBA Verizon Wireless,Minidoka,Cell Number,9/11/94
(208) 261-,"Burley, ID",Red-ban Communications,Cassia,Landline,10/7/09
(208) 262-,"Post Falls, ID",Xo Idaho,Kootenai,Landline,8/13/01
(208) 263-,"Sandpoint, ID",Frontier Communications Northwest,Bonner,Landline,2/4/94
(208) 264-,"Hope, ID",Frontier Communications Northwest,Bonner,Landline,2/4/94
(208) 265-,"Sandpoint, ID",Frontier Communications Northwest,Bonner,Landline,2/4/94
(208) 266-,"Clark Fork, ID",Frontier Communications Northwest,Bonner,Landline,2/4/94
(208) 267-,"Moyie Springs, ID",Frontier Communications Northwest,Boundary,Landline,2/4/94
(208) 268-,"Desmet, ID",Frontier Communications Northwest Inc. - WA,Benewah,Landline,1/10/96
(208) 269-,"American Falls, ID",Cellco Partnership DBA Verizon Wireless,Power,Cell Number,7/6/97
(208) 270-,"Swan Valley, ID",Cellco Partnership DBA Verizon Wireless,Bonneville,Cell Number,1/11/97
(208) 271-,"Mccall, ID",Sprint Spectrum L.p.,Valley,Cell Number,4/9/04
(208) 272-,"Boise, ID",Mcimetro Access Transmission Services LLC,Ada,Landline,3/26/04
(208) 273-,"Plummer, ID",Frontier Communications Northwest Inc. - WA,Benewah,Landline,1/10/96
(208) 274-,"Desmet, ID",Frontier Communications Northwest,Benewah,Landline,1/10/96
(208) 275-,"Boise, ID",Electric Lightwave DBA Integra Telecom,Ada,Landline,7/22/99
(208) 276-,"Juliaetta, ID",Potlatch Telephone Co.,Nez Perce,Landline,2/4/94
(208) 277-,"Coeur D Alene, ID",Mcimetro Access Transmission Services LLC,Kootenai,Landline,11/13/03
(208) 278-,"New Plymouth, ID",Qwest Corporation,Payette,Landline,2/4/94
(208) 279-,"Boise, ID",Tw Telecom Of Idaho LLC,Ada,Landline,1/14/00
(208) 280-,"Twin Falls, ID",Sprint Spectrum L.p.,Twin Falls,Cell Number,6/13/00
(208) 281-,"Carey, ID",Joseph B. Mcneal DBA Pagedata,Blaine,Cell Number,12/14/05
(208) 282-,"Pocatello, ID",Qwest Corporation,Bannock,Landline,6/13/00
(208) 283-,"Boise, ID",T-mobile Usa,Ada,Cell Number,10/13/99
(208) 284-,"Boise, ID",T-mobile Usa,Ada,Cell Number,10/13/99
(208) 285-,"Genesee, ID",Frontier Communications Northwest,Latah,Landline,2/4/94
(208) 286-,"Star, ID",Qwest Corporation,Ada,Landline,2/4/94
(208) 287-,"Boise, ID",Electric Lightwave DBA Integra Telecom,Ada,Landline,10/13/99
(208) 288-,"Meridian, ID",Qwest Corporation,Ada,Landline,8/14/98
(208) 289-,"Kendrick, ID",Potlatch Telephone Co.,Nez Perce,Landline,2/4/94
(208) 290-,"Sandpoint, ID",T-mobile Usa,Bonner,Cell Number,11/20/98
(208) 291-,"Payette, ID",T-mobile Usa,Payette,Cell Number,10/13/99
(208) 292-,"Coeur D Alene, ID",Xo Idaho,Kootenai,Landline,6/13/00
(208) 293-,"Twin Falls, ID",Electric Lightwave DBA Integra Telecom,Twin Falls,Landline,7/22/99
(208) 294-,"Homedale, ID",Joseph B. Mcneal DBA Wavesent,Owyhee,Cell Number,12/14/05
(208) 295-,"Bonners Ferry, ID",Zayo Bandwidth Northwest,Boundary,Landline,6/16/04
