Prefix,Primary City,Company,County,Usage,Introduced
(267) 200-,"Ottsville, PA",Cccpa DBA Connect!,Bucks,Landline,10/13/99
(267) 202-,"Levittown, PA",Level 3 Communications,Bucks,Landline,2/21/02
(267) 203-,"Souderton, PA",Netcarrier Telecom,Montgomery,Landline,8/2/01
(267) 204-,"Ottsville, PA",Cavalier Telephone Mid-atlantic,Bucks,Landline,8/20/00
(267) 205-,"Philadelphia, PA","Omnipoint Communications Enterprises, L.p.",Philadelphia,Cell Number,6/30/01
(267) 206-,"Philadelphia, PA","Omnipoint Communications Enterprises, L.p.",Philadelphia,Cell Number,3/27/09
(267) 207-,"Philadelphia, PA",Broadwing Communications,Philadelphia,Landline,10/31/00
(267) 208-,"Ottsville, PA",Ymax Communications Corp.,Bucks,Landline,11/14/06
(267) 209-,"Norristown, PA",Broadwing Communications,Montgomery,Landline,3/3/01
(267) 210-,"Fort Washington, PA","Omnipoint Communications Enterprises, L.p.",Montgomery,Cell Number,4/24/02
(267) 212-,"Langhorne, PA",Netcarrier Telecom,Bucks,Landline,8/2/01
(267) 213-,"Philadelphia, PA",Local Access LLC,Philadelphia,Landline,2/28/13
(267) 216-,"Philadelphia, PA",Verizon Pennsylvania,Philadelphia,Landline,10/31/00
(267) 217-,"North Wales, PA",Broadwing Communications,Montgomery,Landline,10/31/00
(267) 218-,"Lansdale, PA",New Cingular Wireless PCS - DC,Montgomery,Cell Number,1/18/01
(267) 219-,"North Wales, PA",AT&T Local,Montgomery,Landline,6/13/00
(267) 220-,"Hatboro, PA",Xo Communications Services Inc,Montgomery,Landline,6/30/01
(267) 221-,"Doylestown, PA",Sprint Spectrum L.p.,Bucks,Cell Number,10/9/01
(267) 222-,"Lansdale, PA",Cellco Partnership DBA Verizon Wireless,Montgomery,Landline,10/11/01
(267) 223-,"Philadelphia, PA",Us Lec Of Pennsylvania,Philadelphia,Landline,6/30/01
(267) 224-,"Doylestown, PA",Xo Communications Services Inc,Bucks,Landline,11/14/01
(267) 225-,"Philadelphia, PA",Peerless Network Of Pennsylvania,Philadelphia,Landline,5/31/12
(267) 226-,"Philadelphia, PA",New Cingular Wireless PCS - DC,Philadelphia,Cell Number,9/17/01
(267) 227-,"Quakertown, PA",Cavalier Telephone Mid-atlantic,Bucks,Landline,6/4/10
(267) 228-,"Philadelphia, PA",Sprint Spectrum L.p.,Philadelphia,Cell Number,8/20/00
(267) 229-,"Langhorne, PA",Cellco Partnership DBA Verizon Wireless,Bucks,Cell Number,8/20/00
(267) 230-,"Philadelphia, PA","Omnipoint Communications Enterprises, L.p.",Philadelphia,Cell Number,10/13/99
(267) 231-,"Philadelphia, PA","Omnipoint Communications Enterprises, L.p.",Philadelphia,Cell Number,10/13/99
(267) 232-,"Philadelphia, PA",Cavalier Telephone (mid-atlantic),Philadelphia,Landline,10/13/99
(267) 233-,"Philadelphia, PA",Global Crossing Local Services-pa,Philadelphia,Landline,10/13/99
(267) 234-,"Philadelphia, PA",Tcg New Jersey,Philadelphia,Landline,10/13/99
(267) 235-,"Philadelphia, PA",Sprint Spectrum L.p.,Philadelphia,Cell Number,10/13/99
(267) 236-,"Philadelphia, PA",Netcarrier Telecom,Philadelphia,Landline,1/14/00
