Prefix,Primary City,Company,County,Usage,Introduced
(207) 200-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Cell Number,4/11/11
(207) 203-,"Gardiner, ME",Biddeford Internet Corporation,Kennebec,Landline,10/24/06
(207) 204-,"Kennebunkport, ME",Biddeford Internet Corporation,York,Landline,12/18/06
(207) 205-,"Biddeford, ME",Bell Atlantic Nynex Mobile,York,Cell Number,9/26/01
(207) 206-,"Sanford, ME",New Cingular Wireless PCS - DC,York,Landline,12/22/06
(207) 208-,"Brunswick, ME",Ctc Communications Corp.,Cumberland,Landline,7/6/07
(207) 209-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Cell Number,10/3/11
(207) 210-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Cell Number,3/3/01
(207) 212-,"Lewiston, ME",United States Cellular Corp. - Maine,Androscoggin,Cell Number,10/13/99
(207) 213-,"Augusta, ME",Choice One Communications,Kennebec,Landline,10/16/09
(207) 214-,"Calais, ME",United States Cellular Corp. - Maine,Washington,Cell Number,11/20/98
(207) 215-,"Augusta, ME",United States Cellular Corp. - Maine,Kennebec,Cell Number,10/13/99
(207) 216-,"Wells, ME",United States Cellular Corp. - Maine,York,Cell Number,4/3/07
(207) 217-,"Bangor, ME",Bell Atlantic Nynex Mobile,Penobscot,Landline,12/14/06
(207) 218-,"Belfast, ME",AT&T Local,Waldo,Landline,9/24/02
(207) 219-,"Scarborough, ME",Sprint Spectrum L.p.,Cumberland,Cell Number,9/12/11
(207) 221-,"Portland, ME",Choice One Communications,Cumberland,Landline,10/13/99
(207) 222-,"Gorham, ME",Ctc Communications Corp.,Cumberland,Landline,6/4/02
(207) 223-,"Winterport, ME",No New England Tel Op DBA Fairpoint Comm,Waldo,Landline,2/4/94
(207) 224-,"Livermore, ME",Oxford County Telephone & Telegraph Co.,Androscoggin,Landline,2/4/94
(207) 225-,"Turner, ME",Oxford County Telephone & Telegraph Co.,Androscoggin,Landline,2/4/94
(207) 226-,"Rockland, ME",Choice One Communications,Knox,Landline,10/31/00
(207) 227-,"Presque Isle, ME",Bell Atlantic Nynex Mobile,Aroostook,Cell Number,1/25/98
(207) 228-,"Portland, ME",Mcimetro Access Transmission Services LLC,Cumberland,Landline,1/25/98
(207) 229-,"Biddeford, ME",New Cingular Wireless PCS - DC,York,Cell Number,5/18/98
(207) 230-,"Camden, ME",No New England Tel Op DBA Fairpoint Comm,Knox,Landline,1/10/96
(207) 231-,"Fort Kent, ME",Bell Atlantic Nynex Mobile,Aroostook,Cell Number,12/22/03
(207) 232-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Cell Number,2/4/94
(207) 233-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Cell Number,2/4/94
(207) 234-,"Dixmont, ME",Unity Telephone Co.,Penobscot,Landline,2/4/94
(207) 235-,"Kingfield, ME",Somerset Telephone Co.,Franklin,Landline,2/4/94
(207) 236-,"Camden, ME",No New England Tel Op DBA Fairpoint Comm,Knox,Landline,2/4/94
(207) 237-,"Stratton, ME",Somerset Telephone Co.,Franklin,Landline,2/4/94
(207) 238-,"Fairfield, ME",No New England Tel Op DBA Fairpoint Comm,Somerset,Landline,10/11/97
(207) 239-,"Portland, ME",Mcimetro Access Transmission Services LLC,Cumberland,Landline,5/18/98
(207) 240-,"Lewiston, ME",Bell Atlantic Nynex Mobile,Androscoggin,Cell Number,9/11/94
(207) 241-,"Lewiston, ME",Northeast Wireless Networks,Androscoggin,Cell Number,5/24/11
(207) 242-,"Augusta, ME",Bell Atlantic Nynex Mobile,Kennebec,Cell Number,2/4/94
(207) 243-,"Stratton, ME",Somerset Telephone Co.,Franklin,Landline,2/4/94
(207) 244-,"Southwest Harbor, ME",No New England Tel Op DBA Fairpoint Comm,Hancock,Landline,2/4/94
(207) 245-,"Portland, ME",New Cingular Wireless PCS - DC,Cumberland,Cell Number,9/9/11
(207) 246-,"Stratton, ME",Somerset Telephone Co.,Franklin,Landline,2/4/94
(207) 247-,"Waterboro, ME",Saco River Telephone LLC,York,Landline,2/4/94
(207) 248-,"Augusta, ME",Bell Atlantic Nynex Mobile,Kennebec,Cell Number,10/3/11
(207) 249-,"Bangor, ME",Bell Atlantic Nynex Mobile,Penobscot,Cell Number,8/14/98
(207) 251-,"Ogunquit, ME",New Cingular Wireless PCS - DC,York,Cell Number,8/14/98
(207) 252-,"Portland, ME",Sprint Spectrum L.p.,Cumberland,Cell Number,8/14/98
(207) 253-,"Portland, ME",No New England Tel Op DBA Fairpoint Comm,Cumberland,Landline,8/14/98
(207) 254-,"Houlton, ME","Oxford Cnty Telephone Svc Co, DBA Oxford Netwrks",Aroostook,Landline,9/15/11
(207) 255-,"Machias, ME",No New England Tel Op DBA Fairpoint Comm,Washington,Landline,2/4/94
(207) 256-,"Fryeburg, ME",Bell Atlantic Nynex Mobile,Oxford,Cell Number,10/13/99
(207) 257-,"Detroit, ME",Mid-maine Telecom,Somerset,Landline,2/4/94
(207) 259-,"Machiasport, ME",No New England Tel Op DBA Fairpoint Comm,Washington,Landline,2/4/94
(207) 262-,"Bangor, ME",No New England Tel Op DBA Fairpoint Comm,Penobscot,Landline,2/4/94
(207) 263-,"Wesley, ME",United States Cellular Corp. - Maine,Washington,Cell Number,11/20/98
(207) 264-,"Portland, ME",No New England Tel Op DBA Fairpoint Comm,Cumberland,Cell Number,1/11/97
(207) 265-,"Kingfield, ME",Somerset Telephone Co.,Franklin,Landline,2/4/94
(207) 266-,"Ellsworth, ME",New Cingular Wireless PCS - DC,Hancock,Cell Number,2/4/94
(207) 267-,"Oakfield, ME",Bell Atlantic Nynex Mobile,Aroostook,Cell Number,10/11/97
(207) 268-,"Litchfield, ME",Community Service Telephone Co.,Kennebec,Landline,2/4/94
(207) 269-,"Carmel, ME",Hampden Telephone Co.,Penobscot,Landline,2/4/94
(207) 270-,"Dexter, ME",Bell Atlantic Nynex Mobile,Penobscot,Cell Number,10/11/97
(207) 271-,"Wesley, ME",United States Cellular Corp. - Maine,Washington,Cell Number,11/20/98
(207) 272-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Landline,5/8/03
(207) 273-,"Warren, ME",Warren Telephone Co.,Knox,Landline,2/4/94
(207) 274-,"Portland, ME",Bell Atlantic Nynex Mobile,Cumberland,Cell Number,6/8/11
(207) 275-,"Portland, ME",Cornerstone Communications,Cumberland,Cell Number,5/10/99
(207) 276-,"Southwest Harbor, ME",No New England Tel Op DBA Fairpoint Comm,Hancock,Landline,2/4/94
(207) 277-,"Saint Albans, ME",Hartland & St. Albans Telephone Co.,Somerset,Landline,2/4/94
(207) 278-,"Corinna, ME",West Penobscot Telephone & Telegraph Co.,Penobscot,Landline,2/4/94
(207) 279-,"Brownville, ME",Bell Atlantic Nynex Mobile,Piscataquis,Cell Number,10/11/97
(207) 280-,"Monson, ME",Bell Atlantic Nynex Mobile,Piscataquis,Cell Number,10/11/97
(207) 281-,"Biddeford, ME",No New England Tel Op DBA Fairpoint Comm,York,Cell Number,2/4/94
(207) 282-,"Biddeford, ME",No New England Tel Op DBA Fairpoint Comm,York,Landline,2/4/94
(207) 283-,"Biddeford, ME",No New England Tel Op DBA Fairpoint Comm,York,Landline,2/4/94
(207) 284-,"Biddeford, ME",No New England Tel Op DBA Fairpoint Comm,York,Landline,2/4/94
(207) 285-,"Corinth, ME",No New England Tel Op DBA Fairpoint Comm,Penobscot,Landline,2/4/94
(207) 286-,"Biddeford, ME",No New England Tel Op DBA Fairpoint Comm,York,Landline,2/4/94
(207) 287-,"Augusta, ME",No New England Tel Op DBA Fairpoint Comm,Kennebec,Landline,2/4/94
(207) 288-,"Bar Harbor, ME",No New England Tel Op DBA Fairpoint Comm,Hancock,Landline,2/4/94
(207) 289-,"Scarborough, ME",Sprint Spectrum L.p.,Cumberland,Cell Number,4/16/01
(207) 290-,"Lincoln, ME",Bell Atlantic Nynex Mobile,Penobscot,Cell Number,10/11/97
(207) 293-,"Vienna, ME",Community Service Telephone Co.,Kennebec,Landline,2/4/94
(207) 294-,"Biddeford, ME",No New England Tel Op DBA Fairpoint Comm,York,Landline,7/1/96
(207) 296-,"Stetson, ME",West Penobscot Telephone & Telegraph Co.,Penobscot,Landline,2/4/94
(207) 297-,"Eustis, ME",Somerset Telephone Co.,Franklin,Landline,2/4/94
(207) 298-,"Buxton, ME",Bell Atlantic Nynex Mobile,York,Cell Number,11/26/08
(207) 299-,"Bangor, ME",AT&T Local,Penobscot,Landline,11/20/98
(207) 303-,"Scarborough, ME","Oxford Cnty Telephone Svc Co, DBA Oxford Netwrks",Cumberland,Landline,8/23/13
(207) 307-,"Bangor, ME","Oxford Cnty Telephone Svc Co, DBA Oxford Netwrks",Penobscot,Landline,9/18/13
