Prefix,Primary City,Company,County,Usage,Introduced
(203) 200-,"New Haven, CT",Bandwidth.com Clec,New Haven,Landline,8/14/2008
(203) 201-,"New Haven, CT",Usa Mobility Wireless,New Haven,Cell Number,1/10/1996
(203) 202-,"Darien, CT",Cablevision Lightpath,Fairfield,Landline,4/1/1997
(203) 204-,"Guilford, CT",Teleport Communications America,New Haven,Landline,4/1/1997
(203) 205-,"Danbury, CT",Southern New England Telephone Co.,Fairfield,Landline,4/1/1997
(203) 206-,"Waterbury, CT",New Cingular Wireless PCS - DC,New Haven,Cell Number,2/11/1995
(203) 207-,"Danbury, CT",Southern New England Telephone Co.,Fairfield,Landline,2/11/1995
(203) 208-,"Branford, CT",Comcast Phone Of Connecticut,New Haven,Landline,4/1/1997
(203) 209-,"Bridgeport, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Landline,2/11/1995
(203) 210-,"Wilton, CT",Cablevision Lightpath,Fairfield,Landline,2/27/1999
(203) 212-,"Bridgeport, CT",New Cingular Wireless PCS - DC,Fairfield,Cell Number,10/23/2008
(203) 213-,"Meriden, CT",New Cingular Wireless PCS - DC,New Haven,Cell Number,2/11/1995
(203) 214-,"New Haven, CT",New Cingular Wireless PCS - DC,New Haven,Cell Number,2/11/1995
(203) 215-,"New Haven, CT",New Cingular Wireless PCS - DC,New Haven,Cell Number,2/11/1995
(203) 216-,"Westport, CT",New Cingular Wireless PCS - DC,Fairfield,Cell Number,2/11/1995
(203) 217-,"Waterbury, CT",New Cingular Wireless PCS - DC,New Haven,Cell Number,2/11/1995
(203) 218-,"Bridgeport, CT",New Cingular Wireless PCS - DC,Fairfield,Cell Number,2/11/1995
(203) 219-,"Stamford, CT",New Cingular Wireless PCS - DC,Fairfield,Cell Number,2/11/1995
(203) 220-,"Trumbull, CT",Cablevision Lightpath,Fairfield,Landline,1/25/1998
(203) 221-,"Westport, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 222-,"Westport, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 223-,"Stamford, CT",Sprint Spectrum L.p.,Fairfield,Cell Number,4/1/1997
(203) 224-,"Bridgeport, CT",Southern New England Telephone Co.,Fairfield,Landline,1/11/1997
(203) 225-,"Huntington, CT",Southern New England Telephone Co.,Fairfield,Landline,1/11/1997
(203) 226-,"Westport, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 227-,"Westport, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 228-,"Waterbury, CT",Cellco Partnership DBA Verizon Wireless,New Haven,Cell Number,10/4/2002
(203) 229-,"Norwalk, CT",Southern New England Telephone Co.,Fairfield,Landline,1/25/1998
(203) 230-,"New Haven, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 231-,"Derby, CT",Cellco Partnership DBA Verizon Wireless,New Haven,Cell Number,4/1/1997
(203) 232-,"Waterbury, CT",Cellco Partnership DBA Verizon Wireless,New Haven,Cell Number,4/1/1997
(203) 233-,"Waterbury, CT",Cellco Partnership DBA Verizon Wireless,New Haven,Cell Number,4/1/1997
(203) 234-,"New Haven, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 235-,"Meriden, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 236-,"Waterbury, CT",Southern New England Telephone Co.,New Haven,Landline,1/11/1997
(203) 237-,"Meriden, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 238-,"Meriden, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 239-,"New Haven, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 240-,"Danbury, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 241-,"Danbury, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 242-,"Huntington, CT",Cablevision Lightpath,Fairfield,Landline,1/25/1998
(203) 243-,"Bridgeport, CT",Omnipoint Communications,Fairfield,Cell Number,4/1/1997
(203) 244-,"Ridgefield, CT",Cablevision Lightpath,Fairfield,Landline,3/28/2003
(203) 245-,"Madison, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 246-,"Norwalk, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 247-,"Norwalk, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,1/25/1998
(203) 248-,"New Haven, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 249-,"Stamford, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 250-,"Cheshire, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 251-,"Stamford, CT",Southern New England Telephone Co.,Fairfield,Landline,1/11/1997
(203) 252-,"Stamford, CT",Cablevision Lightpath,Fairfield,Landline,10/13/1999
(203) 253-,"Stamford, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 254-,"Fairfield, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 255-,"Fairfield, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 256-,"Fairfield, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 257-,"Bridgeport, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 258-,"Bridgeport, CT",Cellco Partnership DBA Verizon Wireless,Fairfield,Cell Number,4/1/1997
(203) 259-,"Fairfield, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 260-,"Bridgeport, CT",New Cingular Wireless PCS - DC,Fairfield,Cell Number,7/22/1999
(203) 261-,"Trumbull, CT",Southern New England Telephone Co.,Fairfield,Landline,2/4/1994
(203) 262-,"Southbury, CT",Southern New England Telephone Co.,New Haven,Landline,2/4/1994
(203) 263-,"Woodbury, CT",Southern New England Telephone Co.,Litchfield,Landline,2/4/1994
