Prefix,Primary City,Company,County,Usage,Introduced
(920) 201-,"Appleton, WI",Usa Mobility Wireless,Outagamie,Cell Number,5/10/99
(920) 202-,"Appleton, WI",United States Cellular Corp. - Wisconsin,Outagamie,Cell Number,7/6/97
(920) 203-,"Oshkosh, WI",Sprint Spectrum L.p.,Winnebago,Cell Number,8/20/00
(920) 204-,"Fond Du Lac, WI",Cellco Partnership DBA Verizon Wireless,Fond Du Lac,Cell Number,7/6/97
(920) 205-,"Appleton, WI",Sprint Spectrum L.p.,Outagamie,Cell Number,8/20/00
(920) 206-,"Watertown, WI",Ameritech Wisconsin,Jefferson,Landline,7/6/97
(920) 207-,"Sheboygan, WI",United States Cellular Corp. - Wisconsin,Sheboygan,Cell Number,5/10/99
(920) 208-,"Sheboygan, WI",Ameritech Wisconsin,Sheboygan,Landline,7/6/97
(920) 209-,"Appleton, WI",United States Cellular Corp. - Wisconsin,Outagamie,Cell Number,5/10/99
(920) 210-,"Beaver Dam, WI",United States Cellular Corp. - Wisconsin,Dodge,Cell Number,7/6/97
(920) 212-,"Mayville, WI",Cellco Partnership DBA Verizon Wireless,Dodge,Cell Number,7/6/97
(920) 213-,"Appleton, WI",Cellco Partnership DBA Verizon Wireless,Outagamie,Cell Number,7/6/97
(920) 214-,"Mayville, WI",Cellco Partnership DBA Verizon Wireless,Dodge,Cell Number,5/10/99
(920) 215-,"Neenah, WI",Ameritech Wisconsin,Winnebago,Landline,7/6/97
(920) 216-,"Oshkosh, WI",New Cingular Wireless PCS - IL,Winnebago,Cell Number,2/14/01
(920) 217-,"Green Bay, WI",Sprint Spectrum L.p.,Brown,Cell Number,8/20/00
(920) 218-,"Manitowoc, WI",Jsm Tele-page Inc.,Manitowoc,Cell Number,8/20/00
(920) 219-,"Beaver Dam, WI",Cellco Partnership DBA Verizon Wireless,Dodge,Cell Number,5/10/99
(920) 220-,"Johnson Creek, WI",Sprint Spectrum L.p.,Jefferson,Cell Number,10/31/00
(920) 221-,"Appleton, WI",Ameritech Wisconsin,Outagamie,Landline,7/30/13
(920) 222-,"Lake Mills, WI",Sprint Spectrum L.p.,Jefferson,Cell Number,10/31/00
(920) 223-,"Oshkosh, WI",Ameritech Wisconsin,Winnebago,Landline,10/13/99
(920) 224-,"Appleton, WI",Net Lec,Outagamie,Landline,1/14/00
(920) 225-,"Appleton, WI",Ameritech Wisconsin,Outagamie,Landline,10/13/99
(920) 226-,"Sheboygan, WI",New Cingular Wireless PCS - IL,Sheboygan,Cell Number,6/13/00
