Prefix,Primary City,Company,County,Usage,Introduced
(201) 200-,"Jersey City, NJ",Verizon New Jersey,Hudson,Landline,1/25/1998
(201) 202-,"Hackensack, NJ",Usa Mobility Wireless,Bergen,Cell Number,2/11/1995
(201) 203-,"Newark, NJ",Ymax Communications Corp.,Essex,Landline,12/18/2006
(201) 204-,"Newark, NJ",Eureka Telecom DBA Eureka Networks,Essex,Landline,1/26/2007
(201) 205-,"Jersey City, NJ",Sprint Spectrum L.p.,Hudson,Cell Number,12/7/2010
(201) 206-,"Hackensack, NJ",Sprint Spectrum L.p.,Bergen,Cell Number,9/11/1994
(201) 207-,"Newark, NJ",Cellco Partnership DBA Verizon Wireless,Essex,Cell Number,1/25/1998
(201) 208-,"Newark, NJ",New Cingular Wireless PCS - DC,Essex,Landline,1/25/1998
(201) 209-,"Jersey City, NJ",Verizon New Jersey,Hudson,Landline,5/10/1999
(201) 210-,"Newark, NJ",AT&T Local,Essex,Landline,11/11/2003
(201) 212-,"Hackensack, NJ",Sprint Spectrum L.p.,Bergen,Cell Number,8/31/2011
(201) 213-,"Morristown, NJ",Cellco Partnership DBA Verizon Wireless,Morris,Cell Number,1/25/1998
(201) 214-,"Hackensack, NJ",New Cingular Wireless PCS - DC,Bergen,Cell Number,2/11/1995
(201) 215-,"Bayonne, NJ",Paetec Communications,Hudson,Landline,7/22/1999
(201) 216-,"Jersey City, NJ",Verizon New Jersey,Hudson,Landline,2/4/1994
(201) 217-,"Jersey City, NJ",Verizon New Jersey,Hudson,Landline,2/4/1994
(201) 218-,"Hackensack, NJ",New Cingular Wireless PCS - DC,Bergen,Cell Number,9/11/1994
(201) 219-,"Jersey City, NJ",Usa Mobility Wireless,Hudson,Cell Number,11/20/1998
(201) 220-,"Hackensack, NJ",New Cingular Wireless PCS - DC,Bergen,Cell Number,7/4/1995
(201) 221-,"Hackensack, NJ",Teleport Communications Group - New York,Bergen,Landline,4/1/1997
(201) 222-,"Jersey City, NJ",Verizon New Jersey,Hudson,Landline,2/4/1994
(201) 223-,"Union City, NJ",Verizon New Jersey,Hudson,Landline,2/4/1994
(201) 224-,"Leonia, NJ",Verizon New Jersey,Bergen,Landline,2/4/1994
(201) 225-,"Oradell, NJ",Verizon New Jersey,Bergen,Landline,1/25/1998
(201) 226-,"Hackensack, NJ",Verizon New Jersey,Bergen,Landline,1/25/1998
(201) 227-,"Englewood, NJ",Verizon New Jersey,Bergen,Landline,1/25/1998
(201) 228-,"Rochelle Park, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 229-,"Hackensack, NJ",Verizon New Jersey,Bergen,Landline,2/4/1994
(201) 230-,"Succasunna, NJ",Cellco Partnership DBA Verizon Wireless,Morris,Cell Number,11/20/1998
(201) 231-,"Rochelle Park, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 232-,"Jersey City, NJ",Cellco Partnership DBA Verizon Wireless,Hudson,Cell Number,4/1/1997
(201) 233-,"Cliffside Park, NJ",Omnipoint Communications,Bergen,Cell Number,4/13/2001
(201) 234-,"Newark, NJ",AT&T Local,Essex,Landline,1/25/1998
(201) 235-,"Hackensack, NJ",General Communications & Electronics Corp.,Bergen,Cell Number,1/25/1998
(201) 236-,"Ramsey, NJ",Verizon New Jersey,Bergen,Landline,2/4/1994
(201) 237-,"Rutherford, NJ",American Messaging (am),Bergen,Cell Number,2/4/1994
(201) 238-,"Jersey City, NJ",Omnipoint Communications,Hudson,Cell Number,1/22/2007
(201) 239-,"Jersey City, NJ",Verizon New Jersey,Hudson,Landline,1/25/1998
(201) 240-,"Jersey City, NJ",Cellco Partnership DBA Verizon Wireless,Hudson,Cell Number,2/4/1994
(201) 241-,"Hackensack, NJ",Cellco Partnership DBA Verizon Wireless,Bergen,Cell Number,9/27/2011
(201) 242-,"Leonia, NJ",Verizon New Jersey,Bergen,Landline,1/25/1998
(201) 243-,"Bayonne, NJ",Verizon New Jersey,Hudson,Landline,1/25/1998
(201) 244-,"Dumont, NJ",Verizon New Jersey,Bergen,Landline,1/25/1998
(201) 245-,"Hackensack, NJ",New Cingular Wireless PCS - DC,Bergen,Cell Number,7/6/1997
(201) 246-,"Kearny, NJ",Verizon New Jersey,Hudson,Landline,1/10/1996
(201) 247-,"Caldwell, NJ",Cellco Partnership DBA Verizon Wireless,Essex,Cell Number,1/25/1998
(201) 248-,"Ramsey, NJ",Cellco Partnership DBA Verizon Wireless,Bergen,Cell Number,4/15/1996
(201) 249-,"Fair Lawn, NJ",Cellco Partnership DBA Verizon Wireless,Bergen,Cell Number,8/8/2011
(201) 250-,"Hackensack, NJ",Cellco Partnership DBA Verizon Wireless,Bergen,Cell Number,7/14/2011
(201) 251-,"Ridgewood, NJ",Verizon New Jersey,Bergen,Landline,2/4/1994
(201) 252-,"Rochelle Park, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 253-,"Jersey City, NJ",New Cingular Wireless PCS - DC,Hudson,Cell Number,1/23/2007
(201) 254-,"Rochelle Park, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 255-,"Union City, NJ",Broadwing Communications,Hudson,Landline,2/14/2001
(201) 256-,"Rochelle Park, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 257-,"Hasbrouck Heights, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 258-,"Rochelle Park, NJ",AT&T Local,Bergen,Landline,1/25/1998
(201) 259-,"Newark, NJ",Cellco Partnership DBA Verizon Wireless,Essex,Cell Number,1/25/1998
(201) 261-,"Oradell, NJ",Verizon New Jersey,Bergen,Landline,2/4/1994
(201) 262-,"Oradell, NJ",Verizon New Jersey,Bergen,Landline,2/4/1994
