Prefix,Primary City,Company,County,Usage,Introduced
(209) 200-,"Lodi, CA",T-mobile Usa,San Joaquin,Cell Number,12/26/01
(209) 201-,"Merced, CA",New Cingular Wireless PCS,Merced,Cell Number,7/22/99
(209) 202-,"Turlock, CA",Cellco Partnership DBA Verizon Wireless,Stanislaus,Landline,12/20/06
(209) 204-,"Manteca, CA",T-mobile Usa,San Joaquin,Cell Number,12/26/01
(209) 205-,"Merced, CA",U.s. Telepacific Corp.,Merced,Landline,6/30/01
(209) 206-,"Tuolumne, CA",New Cingular Wireless PCS,Tuolumne,Cell Number,2/8/07
(209) 207-,"Tracy, CA",Cellco Partnership DBA Verizon Wireless,San Joaquin,Cell Number,9/27/07
(209) 208-,"Copperopolis, CA",Pac - West Telecomm,Calaveras,Landline,1/14/00
(209) 210-,"Lodi, CA",Arrival Communications,San Joaquin,Landline,6/30/01
(209) 212-,"Fresno, CA",New Cingular Wireless PCS,Fresno,Cell Number,11/20/98
(209) 213-,"Sonora, CA",Pac - West Telecomm,Tuolumne,Landline,12/26/01
(209) 214-,"Modesto, CA",Metro PCS,Stanislaus,Cell Number,3/2/09
(209) 215-,"Gustine, CA",Pac - West Telecomm,Merced,Landline,12/26/01
(209) 216-,"Turlock, CA",Arrival Communications,Stanislaus,Landline,6/30/01
(209) 217-,"Jackson, CA",Pac - West Telecomm,Amador,Landline,12/26/01
(209) 218-,"Fresno, CA",Bandwidth.com Clec,Fresno,Cell Number,7/6/97
(209) 219-,"Fresno, CA",Cellco Partnership DBA Verizon Wireless,Fresno,Cell Number,1/14/00
(209) 220-,"Fresno, CA",33 Wireless Inc.,Fresno,Cell Number,11/20/98
(209) 221-,"Tracy, CA",Brooks Fiber Communications Of California,San Joaquin,Landline,8/20/00
(209) 222-,"Modesto, CA",Vaya Telecom,Stanislaus,Landline,8/11/10
(209) 223-,"Jackson, CA",Pacific Bell,Amador,Landline,2/4/94
(209) 224-,"Stockton, CA",Pac - West Telecomm,San Joaquin,Landline,8/20/00
(209) 225-,"Modesto, CA",Cellco Partnership DBA Verizon Wireless,Stanislaus,Cell Number,10/10/11
(209) 226-,"Turlock, CA",Teleport Communications Group - San Francisco,Stanislaus,Landline,5/11/12
(209) 227-,"Stockton, CA",Bandwidth.com Clec,San Joaquin,Landline,4/28/09
(209) 228-,"Merced, CA",Pacific Bell,Merced,Landline,9/30/05
(209) 229-,"Tracy, CA",Arrival Communications,San Joaquin,Landline,6/30/01
(209) 230-,"Merced, CA",Level 3 Communications,Merced,Landline,6/30/01
(209) 231-,"Jackson, CA",Pac - West Telecomm,Amador,Landline,7/1/96
(209) 232-,"Modesto, CA",U.s. Telepacific Corp.,Stanislaus,Landline,5/21/09
(209) 233-,"Merced, CA",T-mobile Usa,Merced,Landline,6/30/01
(209) 234-,"Stockton, CA",Pacific Bell,San Joaquin,Landline,1/10/96
(209) 235-,"Stockton, CA",Brooks Fiber Communications Of California,San Joaquin,Landline,10/15/96
(209) 236-,"Modesto, CA",Pacific Bell,Stanislaus,Landline,1/10/96
(209) 238-,"Modesto, CA",Pacific Bell,Stanislaus,Landline,1/10/96
(209) 239-,"Manteca, CA",Verizon California Inc.-ca,San Joaquin,Landline,2/4/94
(209) 240-,"Fresno, CA",Cellco Partnership DBA Verizon Wireless,Fresno,Cell Number,11/11/03
(209) 241-,"Modesto, CA",T-mobile Usa,Stanislaus,Landline,6/30/01
(209) 242-,"Stockton, CA",Brooks Fiber Communications Of California,San Joaquin,Landline,4/1/97
(209) 243-,"Newman, CA",Pac - West Telecomm,Stanislaus,Landline,1/14/00
(209) 244-,"Stockton, CA",Hypercube Telecom,San Joaquin,Landline,6/30/01
(209) 245-,"Plymouth, CA",Pacific Bell,Amador,Landline,2/4/94
(209) 246-,"Fresno, CA",Cellco Partnership DBA Verizon Wireless,Fresno,Cell Number,11/11/03
(209) 247-,"Modesto, CA",New Cingular Wireless PCS,Stanislaus,Landline,11/24/04
(209) 248-,"Modesto, CA",Bandwidth.com Clec,Stanislaus,Landline,9/24/12
(209) 249-,"Stockton, CA",Pac - West Telecomm,San Joaquin,Landline,7/6/97
(209) 250-,"Turlock, CA",Charter Fiberlink Ca-cco,Stanislaus,Landline,11/14/07
(209) 251-,"Galt, CA",Sprint Spectrum L.p.,Sacramento,Cell Number,6/30/01
(209) 252-,"Turlock, CA",Bandwidth.com Clec,Stanislaus,Landline,2/28/14
(209) 253-,"Ripon, CA",Charter Fiberlink Ca-cco,San Joaquin,Landline,11/14/07
(209) 254-,"Ripon, CA",Pac - West Telecomm,San Joaquin,Landline,7/6/97
(209) 255-,"Manteca, CA",Wide Voice,San Joaquin,Landline,10/5/11
(209) 256-,"Jackson, CA",New Cingular Wireless PCS,Amador,Cell Number,1/29/02
(209) 257-,"Jackson, CA",Pacific Bell,Amador,Landline,7/6/97
(209) 258-,"Twin Bridges, CA",Volcano Telephone Co.,El Dorado,Landline,2/4/94
