Prefix,Primary City,Company,County,Usage,Introduced
(701) 200-,"Fargo, ND",Sprint Spectrum L.p.,Cass,Cell Number,11/13/02
(701) 201-,"Bottineau, ND",New Cingular Wireless PCS - IL,Bottineau,Cell Number,11/13/02
(701) 202-,"Bismarck, ND",New Cingular Wireless PCS - IL,Burleigh,Cell Number,6/30/01
(701) 203-,"Grand Forks, ND",Level 3 Communications,Grand Forks,Landline,6/30/01
(701) 204-,"Bismarck, ND",Level 3 Communications,Burleigh,Landline,6/30/01
(701) 205-,"Fargo, ND",Level 3 Communications,Cass,Landline,6/30/01
(701) 206-,"Bowman, ND",New Cingular Wireless PCS - IL,Bowman,Cell Number,11/13/02
(701) 207-,"Center, ND",New Cingular Wireless PCS - IL,Oliver,Landline,10/31/00
(701) 208-,"Rugby, ND",New Cingular Wireless PCS - IL,Pierce,Cell Number,2/14/01
(701) 209-,"Regent, ND",New Cingular Wireless PCS - IL,Hettinger,Cell Number,11/13/02
(701) 210-,"Oakes, ND",Cellco Partnership DBA Verizon Wireless,Dickey,Cell Number,2/5/04
(701) 212-,"Fargo, ND",Level 3 Communications,Cass,Landline,8/28/02
(701) 213-,"Grand Forks, ND",Level 3 Communications,Grand Forks,Landline,8/28/02
(701) 214-,"Bismarck, ND",Level 3 Communications,Burleigh,Landline,8/28/02
(701) 215-,"Grand Forks, ND",New Cingular Wireless PCS - IL,Grand Forks,Cell Number,4/5/01
(701) 216-,"Tioga, ND",New Cingular Wireless PCS - IL,Williams,Cell Number,11/13/02
(701) 217-,"Kenmare, ND",New Cingular Wireless PCS - IL,Ward,Cell Number,11/13/02
(701) 218-,"Beach, ND",New Cingular Wireless PCS - IL,Golden Valley,Cell Number,11/13/02
(701) 219-,"Fargo, ND",Sprint Spectrum L.p.,Cass,Cell Number,7/10/01
(701) 220-,"Bismarck, ND",New Cingular Wireless PCS - IL,Burleigh,Cell Number,2/4/94
(701) 221-,"Bismarck, ND",Qwest Corporation,Burleigh,Landline,2/4/94
(701) 222-,"Bismarck, ND",Qwest Corporation,Burleigh,Landline,2/4/94
(701) 223-,"Bismarck, ND",Qwest Corporation,Burleigh,Landline,2/4/94
(701) 224-,"Bismarck, ND",Qwest Corporation,Burleigh,Landline,2/4/94
(701) 225-,"Dickinson, ND",Qwest Corporation,Stark,Landline,2/4/94
(701) 226-,"Bismarck, ND",Cellco Partnership DBA Verizon Wireless,Burleigh,Cell Number,2/4/94
(701) 227-,"Dickinson, ND",Qwest Corporation,Stark,Landline,2/4/94
(701) 228-,"Bottineau, ND",Turtle Mountain Communications,Bottineau,Landline,2/4/94
(701) 229-,"Fordville, ND",Polar Communications Mutual Aid Corp.,Walsh,Landline,2/4/94
(701) 230-,"Devils Lake, ND",Cellco Partnership DBA Verizon Wireless,Ramsey,Cell Number,2/11/95
(701) 231-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/11/95
(701) 232-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/4/94
(701) 234-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/4/94
(701) 235-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/4/94
(701) 236-,"Fessenden, ND",Midcontinent Communications,Wells,Landline,1/15/13
(701) 237-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/4/94
(701) 238-,"Fargo, ND",Cellco Partnership DBA Verizon Wireless,Cass,Cell Number,2/4/94
(701) 239-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/4/94
(701) 240-,"Minot, ND",Cellco Partnership DBA Verizon Wireless,Ward,Cell Number,2/4/94
(701) 241-,"Fargo, ND",Qwest Corporation,Cass,Landline,2/4/94
(701) 242-,"Hankinson, ND",Red River Rural Tel Assn DBA Red River Comm,Richland,Landline,2/4/94
(701) 243-,"Souris, ND",Turtle Mountain Communications,Bottineau,Landline,2/4/94
(701) 244-,"Dunseith, ND",Turtle Mountain Communications,Rolette,Landline,2/4/94
(701) 245-,"Westhope, ND",Srt Communications,Bottineau,Landline,2/4/94
(701) 246-,"Rolette, ND",Turtle Mountain Communications,Rolette,Landline,2/4/94
(701) 247-,"Lakota, ND",Polar Communications Mutual Aid Corp.,Nelson,Landline,2/4/94
(701) 248-,"Minto, ND",Qwest Corporation,Walsh,Landline,2/4/94
(701) 249-,"Esmond, ND",North Dakota Telephone Co.,Benson,Landline,2/4/94
(701) 250-,"Bismarck, ND",Qwest Corporation,Burleigh,Landline,2/4/94
