Prefix,Primary City,Company,County,Usage,Introduced
(202) 200-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Landline,1/19/2011
(202) 201-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,10/19/2005
(202) 203-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,10/31/2000
(202) 204-,"Washington, DC",Xo D.c.,District Of Columbia,Landline,8/14/1998
(202) 205-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 206-,"Washington, DC",Usa Mobility Wireless,District Of Columbia,Cell Number,4/15/1996
(202) 207-,"Washington, DC",Xo D.c.,District Of Columbia,Landline,1/14/2000
(202) 208-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 209-,"Washington, DC",Usa Mobility Wireless,District Of Columbia,Cell Number,10/11/1997
(202) 210-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,7/1/1996
(202) 212-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,12/12/2006
(202) 213-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,2/4/1994
(202) 214-,"Washington, DC",Usa Mobility Wireless,District Of Columbia,Cell Number,10/15/1996
(202) 215-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,2/4/1994
(202) 216-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,7/6/1997
(202) 217-,"Washington, DC",Usa Mobility Wireless,District Of Columbia,Cell Number,2/4/1994
(202) 218-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/10/1996
(202) 219-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 220-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,8/14/1998
(202) 221-,"Washington, DC",Mte DBA Mte Paging Network,District Of Columbia,Cell Number,5/10/1999
(202) 222-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,9/11/1994
(202) 223-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 224-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 225-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 226-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 227-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Cell Number,1/10/1996
(202) 228-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 229-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Cell Number,4/1/1997
(202) 230-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Landline,5/18/1998
(202) 231-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/10/1996
(202) 232-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 233-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 234-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 235-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Cell Number,1/10/1996
(202) 236-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,1/10/1996
(202) 237-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/11/1995
(202) 238-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,10/15/1996
(202) 239-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,11/13/2006
(202) 241-,"Washington, DC",Ymax Communications Corp.,District Of Columbia,Landline,11/16/2006
(202) 242-,"Washington, DC",Paetec Communications,District Of Columbia,Landline,4/15/1996
(202) 243-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,7/6/1997
(202) 244-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 245-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 246-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,10/15/1996
(202) 247-,"Washington, DC","Atx Telecommunications Services, Ltd-va",District Of Columbia,Landline,12/13/2001
(202) 248-,"Washington, DC",Starpower Communications,District Of Columbia,Landline,7/6/1997
(202) 249-,"Washington, DC",Starpower Communications,District Of Columbia,Landline,8/14/1998
(202) 250-,"Washington, DC",Starpower Communications,District Of Columbia,Landline,11/20/1998
(202) 251-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,7/22/1999
(202) 252-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 253-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,2/4/1994
(202) 254-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 255-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,10/15/1996
(202) 256-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,10/11/1997
(202) 257-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,5/10/1999
(202) 258-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,7/22/1999
(202) 259-,"Washington, DC",Usa Mobility Wireless,District Of Columbia,Cell Number,2/4/1994
(202) 260-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 261-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/25/1998
(202) 262-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,11/20/1998
(202) 263-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/27/1999
(202) 264-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,10/11/1997
(202) 265-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 266-,"Washington, DC",Cavalier East LLC,District Of Columbia,Landline,1/14/2000
(202) 267-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 268-,"Washington, DC",Mcimetro Access Transmission Services LLC,District Of Columbia,Landline,2/4/1994
(202) 269-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 270-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,7/6/1997
(202) 271-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,1/10/1996
(202) 272-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 273-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 274-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 275-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 276-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,10/15/1996
(202) 277-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,4/1/1997
(202) 278-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,7/6/1997
(202) 279-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 280-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,11/16/2006
(202) 281-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/10/1996
(202) 282-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 283-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 284-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,4/21/2004
(202) 285-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,1/14/2000
(202) 286-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,5/18/1998
(202) 287-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 288-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,2/4/1994
(202) 289-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 290-,"Washington, DC",Omnipoint Communications Cap Operations,District Of Columbia,Cell Number,12/2/2006
(202) 291-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 292-,"Washington, DC",Mci Worldcom Communications,District Of Columbia,Landline,5/10/1999
(202) 293-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 294-,"Washington, DC",Omnipoint Communications Cap Operations,District Of Columbia,Cell Number,9/26/2001
(202) 295-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,4/1/1997
(202) 296-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 297-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,1/14/2000
(202) 298-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 299-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,7/22/1999
(202) 300-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Landline,1/19/2011
(202) 302-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,7/1/1996
(202) 303-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,3/15/2002
(202) 304-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,12/9/2011
(202) 305-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 306-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,7/1/1996
(202) 307-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 308-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,8/18/2011
(202) 309-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,6/13/2000
(202) 310-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 312-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/25/1998
(202) 313-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/11/1995
(202) 314-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/10/1996
(202) 315-,"Washington, DC",Xo D.c.,District Of Columbia,Landline,1/14/2000
(202) 316-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,2/4/1994
(202) 317-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,9/25/2012
(202) 318-,"Washington, DC","Peerless Network Of The District Of Columbia, Dc",District Of Columbia,Landline,2/27/1999
(202) 319-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 320-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,1/14/2000
(202) 321-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,1/10/1996
(202) 322-,"Washington, DC",Leap Wireless Intl DBA Cricket Comm,District Of Columbia,Cell Number,4/18/2011
(202) 323-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,5/18/1998
(202) 324-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 325-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,3/31/2008
(202) 326-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 327-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 328-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 329-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,1/10/1996
(202) 330-,"Washington, DC",Xo D.c.,District Of Columbia,Landline,1/14/2000
(202) 331-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 332-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 333-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 334-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 335-,"Washington, DC",Net-tel Corporation,District Of Columbia,Landline,6/13/2000
(202) 336-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 337-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 338-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 339-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,1/10/1996
(202) 340-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,11/20/1998
(202) 341-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,7/4/1995
(202) 342-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 343-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 344-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,2/27/1999
(202) 345-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,6/13/2000
(202) 346-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 347-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 348-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 349-,"Washington, DC",Us Lec Of Virginia,District Of Columbia,Landline,1/14/2000
(202) 350-,"Washington, DC",Teleport Communications America,District Of Columbia,Landline,6/13/2000
(202) 351-,"Washington, DC",Xo D.c.,District Of Columbia,Landline,1/14/2000
(202) 352-,"Washington, DC",Omnipoint Communications Cap Operations,District Of Columbia,Cell Number,6/13/2000
(202) 353-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,5/18/1998
(202) 354-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,11/20/1998
(202) 355-,"Washington, DC",Xo D.c.,District Of Columbia,Landline,1/14/2000
(202) 356-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,7/1/1996
(202) 357-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 358-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 359-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,6/13/2000
(202) 360-,"Washington, DC",Level 3 Communications,District Of Columbia,Landline,8/14/1998
(202) 361-,"Washington, DC",Omnipoint Communications Cap Operations,District Of Columbia,Cell Number,6/13/2000
(202) 362-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 363-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 364-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 365-,"Washington, DC",Cellco Partnership DBA Verizon Wireless,District Of Columbia,Cell Number,2/4/1994
(202) 366-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 367-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Landline,6/13/2000
(202) 368-,"Washington, DC",New Cingular Wireless PCS,District Of Columbia,Cell Number,5/17/2001
(202) 369-,"Washington, DC",Sprint Spectrum L.p.,District Of Columbia,Cell Number,6/30/2001
(202) 370-,"Washington, DC",Tw Telecom Of Dc LLC,District Of Columbia,Landline,5/18/1998
(202) 371-,"Washington, DC","Verizon Washington, Dc Inc.",District Of Columbia,Landline,2/4/1994
(202) 372-,"Washington, DC",Tw Telecom Of Dc LLC,District Of Columbia,Landline,5/18/1998
