Prefix,Primary City,Company,County,Usage,Introduced
(715) 200-,,Big River Telephone Company,,Unknown,6/26/14
(715) 201-,"Shawano, WI",Charter Fiberlink,Shawano,Landline,10/7/09
(715) 202-,"Cornell, WI",Cellco Partnership DBA Verizon Wireless,Chippewa,Cell Number,5/10/99
(715) 203-,"Wausau, WI",Level 3 Communications,Marathon,Landline,4/9/01
(715) 204-,"Stevens Point, WI",Sprint Spectrum L.p.,Portage,Cell Number,4/16/01
(715) 205-,"Rice Lake, WI",New Cingular Wireless PCS - IL,Barron,Cell Number,5/10/99
(715) 206-,"Stanley, WI",Cellco Partnership DBA Verizon Wireless,Chippewa,Cell Number,5/10/99
(715) 207-,"Marshfield, WI",Sprint Spectrum L.p.,Wood,Cell Number,7/18/01
(715) 208-,"Hurley, WI",Cellco Partnership DBA Verizon Wireless,Iron,Cell Number,8/20/00
(715) 209-,"Bayfield, WI",Cellco Partnership DBA Verizon Wireless,Bayfield,Cell Number,8/20/00
(715) 210-,"Eau Claire, WI",Cellco Partnership DBA Verizon Wireless,Eau Claire,Cell Number,8/21/01
(715) 212-,"Wausau, WI",Sprint Spectrum L.p.,Marathon,Cell Number,6/30/01
(715) 213-,"Wisconsin Rapids, WI",United States Cellular Corp. - Wisconsin,Wood,Cell Number,3/3/01
(715) 214-,"Eau Claire, WI",Ameritech Wisconsin,Eau Claire,Landline,6/30/01
(715) 215-,"Eau Claire, WI",Sprint Spectrum L.p.,Eau Claire,Cell Number,5/10/99
(715) 216-,"Antigo, WI",Cellco Partnership DBA Verizon Wireless,Langlade,Cell Number,3/3/01
(715) 217-,"Pembine, WI",Niagara Wireless,Marinette,Cell Number,5/6/11
(715) 218-,"Merrill, WI",Cellco Partnership DBA Verizon Wireless,Lincoln,Cell Number,3/3/01
(715) 219-,"Antigo, WI","Metro Southwest PCS, Llp",Langlade,Cell Number,6/5/03
(715) 220-,"Hudson, WI",Level 3 Communications,Saint Croix,Landline,8/20/02
(715) 221-,"Marshfield, WI",Frontier North Inc.,Wood,Landline,10/13/99
(715) 222-,"Hudson, WI",Aerial Communications,Saint Croix,Cell Number,4/8/02
(715) 223-,"Colby, WI",Frontier North Inc.,Clark,Landline,2/4/94
(715) 224-,"Tomahawk, WI",Frontier North Inc.,Lincoln,Landline,10/13/99
(715) 225-,"Eau Claire, WI",Cellco Partnership DBA Verizon Wireless,Eau Claire,Cell Number,8/20/00
(715) 226-,"Merrill, WI",Cellco Partnership DBA Verizon Wireless,Lincoln,Cell Number,12/5/01
(715) 227-,"Menomonie, WI",Network Services LLC (tsr),Dunn,Cell Number,1/14/00
(715) 228-,"Coloma, WI",Union Telephone Co.,Waushara,Landline,2/4/94
(715) 229-,"Owen, WI",Frontier North Inc.,Clark,Landline,2/4/94
(715) 230-,"Cadott, WI",Sprint Spectrum L.p.,Chippewa,Cell Number,1/29/08
(715) 231-,"Menomonie, WI",24-7 Telcom,Dunn,Landline,7/22/99
(715) 232-,"Menomonie, WI",Ameritech Wisconsin,Dunn,Landline,2/4/94
(715) 233-,"Menomonie, WI",Ameritech Wisconsin,Dunn,Landline,4/1/97
(715) 234-,"Rice Lake, WI",Telephone Usa Of Wisconsin DBA Centurylink,Barron,Landline,2/4/94
(715) 235-,"Menomonie, WI",Ameritech Wisconsin,Dunn,Landline,2/4/94
(715) 236-,"Rice Lake, WI",Telephone Usa Of Wisconsin DBA Centurylink,Barron,Landline,2/4/94
(715) 237-,"New Auburn, WI",Citizens Telephone Cooperative,Chippewa,Landline,2/4/94
(715) 238-,"Granton, WI",Badger Telecom,Clark,Landline,2/4/94
(715) 239-,"Cornell, WI",Centurytel Midwest-kendall LLC DBA Centurylink,Chippewa,Landline,2/4/94
(715) 240-,"Hewitt, WI",Charter Fiberlink,Wood,Landline,2/25/10
(715) 241-,"Wausau, WI",Frontier North Inc.,Marathon,Landline,2/11/95
(715) 243-,"New Richmond, WI",Frontier Communications Of St. Croix LLC,Saint Croix,Landline,2/4/94
(715) 244-,"Danbury, WI",Centurytel Nw Wisconsin LLC DBA Centurylink,Burnett,Landline,2/4/94
(715) 245-,"Hudson, WI",Sprint Spectrum L.p.,Saint Croix,Cell Number,3/24/11
(715) 246-,"New Richmond, WI",Frontier Communications Of St. Croix LLC,Saint Croix,Landline,2/4/94
(715) 247-,"Somerset, WI",Somerset Telephone Co.,Saint Croix,Landline,2/4/94
(715) 248-,"Star Prairie, WI",Frontier Communications Of St. Croix LLC,Polk,Landline,2/4/94
(715) 249-,"Hancock, WI",Union Telephone Co.,Waushara,Landline,2/4/94
(715) 250-,"Clintonville, WI","Metro Southwest PCS, Llp",Waupaca,Cell Number,5/24/04
(715) 251-,"Niagara, WI",Niagara Telephone Co.,Marinette,Landline,2/4/94
(715) 252-,"Stevens Point, WI",Sprint Spectrum L.p.,Portage,Cell Number,6/30/01
(715) 253-,"Wittenberg, WI",Wittenberg Telephone Co.,Shawano,Landline,2/4/94
(715) 254-,"Stevens Point, WI",Us Xchange Of Wisconsin LLC DBA Choice One Comm Wi,Portage,Landline,3/3/01
(715) 255-,"Loyal, WI",Frontier North Inc.,Clark,Landline,2/4/94
(715) 256-,"Waupaca, WI",Ameritech Wisconsin,Waupaca,Landline,2/4/94
(715) 257-,"Athens, WI",Frontier North Inc.,Marathon,Landline,2/4/94
(715) 258-,"Waupaca, WI",Ameritech Wisconsin,Waupaca,Landline,2/4/94
(715) 259-,"Danbury, WI",Centurytel Nw Wisconsin LLC DBA Centurylink,Burnett,Landline,2/4/94
(715) 260-,"Kennan, WI",New Cingular Wireless PCS - IL,Price,Cell Number,6/23/04
(715) 261-,"Wausau, WI",Frontier North Inc.,Marathon,Landline,2/11/95
(715) 262-,"Prescott, WI",Telephone Usa Of Wisconsin DBA Centurylink,Pierce,Landline,2/4/94
(715) 263-,"Clear Lake, WI",Clear Lake Telephone Co.,Polk,Landline,2/4/94
(715) 264-,"Glidden, WI",Telephone Usa Of Wisconsin DBA Centurylink,Ashland,Landline,2/4/94
(715) 265-,"Glenwood City, WI",Telephone Usa Of Wisconsin DBA Centurylink,Saint Croix,Landline,2/4/94
(715) 266-,"Winter, WI",Telephone Usa Of Wisconsin DBA Centurylink,Sawyer,Landline,2/4/94
(715) 267-,"Greenwood, WI",Badger Telecom,Clark,Landline,2/4/94
(715) 268-,"Amery, WI",Amery Telecom Inc.,Polk,Landline,2/4/94
(715) 269-,"Deer Park, WI",Amery Telecom Inc.,Saint Croix,Landline,2/4/94
(715) 270-,"Waupaca, WI",Airadigm Communications Inc,Waupaca,Cell Number,5/10/99
(715) 271-,"Eau Claire, WI",New Cingular Wireless PCS - IL,Eau Claire,Cell Number,10/23/01
(715) 272-,"Three Lakes, WI",Rhinelander Tel LLC DBA Frontier Rhinelander Tel,Oneida,Landline,2/4/94
(715) 273-,"Ellsworth, WI",Ameritech Wisconsin,Pierce,Landline,2/4/94
(715) 274-,"Mellen, WI",Telephone Usa Of Wisconsin DBA Centurylink,Ashland,Landline,2/4/94
(715) 275-,"Elcho, WI",Rhinelander Tel LLC DBA Frontier Rhinelander Tel,Langlade,Landline,2/4/94
(715) 276-,"Lakewood, WI",Telephone Usa Of Wisconsin DBA Centurylink,Oconto,Landline,2/4/94
(715) 277-,"Lake Tomahawk, WI",Rhinelander Tel LLC DBA Frontier Rhinelander Tel,Oneida,Landline,2/4/94
(715) 278-,"Marengo, WI",Chequamegon Communications Cooperative,Ashland,Landline,2/4/94
(715) 279-,"Durand, WI",New Cingular Wireless PCS - IL,Pepin,Cell Number,7/4/95
(715) 280-,"Shawano, WI",New Cingular Wireless PCS - IL,Shawano,Cell Number,6/23/04
(715) 281-,"Waupaca, WI",United States Cellular Corp. - Wisconsin,Waupaca,Cell Number,10/13/99
(715) 282-,"Rhinelander, WI",Rhinelander Tel LLC DBA Frontier Rhinelander Tel,Oneida,Landline,2/4/94
(715) 283-,"Eau Galle, WI",West Wisconsin Telcom Cooperative,Dunn,Landline,2/4/94
(715) 284-,"Black River Falls, WI",Centurytel Central Wisconsin LLC DBA Centurylink,Jackson,Landline,2/4/94
(715) 285-,"Arkansaw, WI",Nelson Telephone Cooperative,Pepin,Landline,2/4/94
