Prefix,Primary City,Company,County,Usage,Introduced
(204) 201-,"Winnipeg, MB",Allstream Inc.,,Landline,3/27/2005
(204) 202-,"Winnipeg, MB",Fibernetics Corporation,,Landline,
(204) 203-,"Portage La Prairie, MB",Provincial Tel Inc.,,Landline,
(204) 205-,"Brokenhead, MB",Rogers Communications Partnership (wireless),,Cell Number,2/16/2006
(204) 206-,"Teulon, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 207-,"Roblin, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 208-,"Pilot Mound, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 209-,"Letellier, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 210-,"Minnedosa, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 212-,"Arden, MB",Rogers Communications Partnership (wireless),,Cell Number,8/31/2003
(204) 213-,"Lac Du Bonnet, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 214-,"Eriksdale, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 215-,"Boissevain, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 216-,"Altona, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 217-,"Altona, MB",Provincial Tel Inc.,,Landline,
(204) 218-,"Winnipeg, MB",Telus Mobility,,Cell Number,
(204) 219-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 220-,"Winnipeg, MB",Bell West Inc.,,Landline,3/27/2005
(204) 221-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 222-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 223-,"Winnipeg, MB",Mts Inc.,,Landline,8/4/2002
(204) 224-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 225-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 226-,"Winnipeg, MB",Mts Inc.,,Cell Number,2/16/2006
(204) 227-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,9/11/1994
(204) 228-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,2/4/1994
(204) 229-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,9/11/1994
(204) 230-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,
(204) 231-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 232-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 233-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 234-,"Oakburn, MB",Mts Inc.,,Landline,2/4/1994
(204) 235-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 236-,"Brampton, MB",Mts Inc.,,Landline,2/4/1994
(204) 237-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 238-,"Bowsman, MB",Mts Inc.,,Landline,2/4/1994
(204) 239-,"Portage La Prairie, MB",Mts Inc.,,Landline,2/4/1994
(204) 240-,"Portage La Prairie, MB",Shaw Telecom Inc.,,Landline,
(204) 241-,"Portage La Prairie, MB",Shaw Telecom Inc.,,Landline,
(204) 242-,"Manitou, MB",Mts Inc.,,Landline,2/4/1994
(204) 243-,"Portage La Prairie, MB",Mts Inc.,,Landline,2/4/1994
(204) 244-,"Poplar River, MB",Mts Inc.,,Landline,2/4/1994
(204) 245-,"Pilot Mound, MB",Mts Inc.,,Cell Number,
(204) 246-,"Darlingford, MB",Mts Inc.,,Landline,2/4/1994
(204) 247-,"Roblin, MB",Mts Inc.,,Cell Number,
(204) 248-,"Notre Dame De Lourdes, MB",Mts Inc.,,Landline,2/4/1994
(204) 249-,"Portage La Prairie, MB",Mts Inc.,,Landline,8/20/2000
(204) 250-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 251-,"Winnipeg, MB",Mts Inc.,,Cell Number,10/13/2005
(204) 252-,"Portage La Prairie, MB",Mts Inc.,,Landline,2/4/1994
(204) 253-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 254-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 255-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 256-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 257-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 258-,"Winnipeg, MB",Mts Inc.,,Landline,8/14/1998
(204) 259-,"Winnipeg, MB",Telus Integrated Communications,,Landline,
(204) 260-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 261-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 262-,"Winnipeg, MB",Mts Inc.,,Landline,2/13/2002
(204) 263-,"Pine River, MB",Mts Inc.,,Landline,2/4/1994
(204) 264-,"Melita, MB",Mts Inc.,,Cell Number,
(204) 265-,"Brokenhead, MB",Mts Inc.,,Landline,2/4/1994
(204) 266-,"Brokenhead, MB",Mts Inc.,,Landline,6/30/2001
(204) 267-,"Oakville, MB",Mts Inc.,,Landline,2/4/1994
(204) 268-,"Brokenhead, MB",Mts Inc.,,Landline,2/4/1994
(204) 269-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 270-,"Oakbank, MB",Mts Inc.,,Cell Number,
(204) 271-,"Flin Flon, MB",Mts Inc.,,Landline,5/10/1999
(204) 272-,"Winnipeg, MB",Gt Group Telecom Services Corp.,,Landline,10/13/2005
(204) 274-,"Portage La Prairie, MB",Mts Inc.,,Landline,2/4/1994
(204) 275-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 276-,"Pineal Lake, MB",Mts Inc.,,Landline,2/4/1994
(204) 277-,"Bissett, MB",Mts Inc.,,Landline,2/4/1994
(204) 278-,"Inwood, MB",Mts Inc.,,Landline,2/4/1994
(204) 279-,"Hecla, MB",Mts Inc.,,Landline,2/4/1994
(204) 280-,"Eriksdale, MB",Mts Inc.,,Cell Number,
(204) 281-,"Bowsman, MB",Mts Inc.,,Landline,5/10/1999
(204) 282-,"Winnipeg, MB",Bell West Inc.,,Landline,6/25/2005
(204) 283-,"Winnipeg, MB",Bell West Inc.,,Landline,2/16/2006
(204) 284-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 285-,"Winnipeg, MB",Bell West Inc.,,Landline,6/1/2006
(204) 286-,"Thicket Portage, MB",Mts Inc.,,Landline,2/4/1994
(204) 287-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 288-,"Ilford, MB",Mts Inc.,,Landline,2/4/1994
(204) 289-,"Winnipeg, MB",Globility,,Landline,10/13/2005
(204) 290-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,10/31/2001
(204) 291-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,4/15/1996
(204) 292-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,7/6/1997
(204) 293-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,11/20/1998
(204) 294-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,10/13/1999
(204) 295-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Landline,1/14/2000
(204) 296-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,10/31/2000
(204) 297-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,3/3/2001
(204) 298-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,6/30/2001
(204) 299-,"Winnipeg, MB",Mts Inc.,,Landline,6/30/2001
(204) 300-,"Steinbach, MB",Provincial Tel Inc.,,Landline,
(204) 301-,"Norway House, MB",Mts Inc.,,Cell Number,
(204) 302-,"Ashern, MB",Mts Inc.,,Cell Number,
(204) 303-,"Rivers, MB",Mts Inc.,,Cell Number,
(204) 304-,"Altona, MB",Mts Inc.,,Cell Number,
(204) 305-,"Boissevain, MB",Mts Inc.,,Cell Number,
(204) 307-,"Thompson, MB",Mts Inc.,,Cell Number,
(204) 308-,"Fisher River, MB",Mts Inc.,,Cell Number,
(204) 309-,"Grand Rapids, MB",Mts Inc.,,Cell Number,
(204) 310-,,Mts Inc.,,Unknown,
(204) 312-,"Winkler, MB",Rogers Communications Partnership (wireless),,Cell Number,10/31/2000
(204) 313-,"Roland, MB",Provincial Tel Inc.,,Landline,
(204) 314-,"Ashern, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 315-,"Grand Rapids, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 316-,"Souris, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 317-,"Pine Falls, MB",Provincial Tel Inc.,,Landline,
(204) 318-,"Winnipeg, MB",Gt Group Telecom Services Corp.,,Landline,
(204) 319-,"Altona, MB",Mts Inc.,,Landline,1/27/2004
(204) 320-,"Steinbach, MB",Mts Inc.,,Landline,10/13/1999
(204) 321-,"Steinbach, MB",Mts Inc.,,Landline,
(204) 322-,"Warren, MB",Mts Inc.,,Landline,2/4/1994
(204) 323-,"Brochet, MB",Mts Inc.,,Landline,2/4/1994
(204) 324-,"Altona, MB",Mts Inc.,,Landline,2/4/1994
(204) 325-,"Winkler, MB",Mts Inc.,,Landline,2/4/1994
(204) 326-,"Steinbach, MB",Mts Inc.,,Landline,2/4/1994
(204) 327-,"Altona, MB",Mts Inc.,,Landline,2/4/1994
(204) 328-,"Rivers, MB",Mts Inc.,,Landline,2/4/1994
(204) 329-,"Easterville, MB",Mts Inc.,,Landline,2/4/1994
(204) 330-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 331-,"Winkler, MB",Mts Inc.,,Landline,2/27/1999
(204) 332-,"Winkler, MB",Mts Inc.,,Cell Number,
(204) 333-,"Winnipeg, MB",Telus Mobility,,Cell Number,10/31/2001
(204) 334-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 335-,"Gods Lake Narrows, MB",Mts Inc.,,Landline,2/4/1994
(204) 336-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 337-,"Lac La Martre, MB",Mts Inc.,,Landline,2/4/1994
(204) 338-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 339-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
(204) 340-,"Lac Du Bonnet, MB",Mts Inc.,,Landline,6/30/2001
(204) 341-,"Yorkton, MB",Mts Inc.,,Landline,2/4/1994
(204) 342-,"Split Lake, MB",Mts Inc.,,Landline,2/4/1994
(204) 343-,"Roland, MB",Mts Inc.,,Landline,2/4/1994
(204) 344-,"Warren, MB",Mts Inc.,,Landline,2/4/1994
(204) 345-,"Lac Du Bonnet, MB",Mts Inc.,,Landline,2/4/1994
(204) 346-,"Steinbach, MB",Mts Inc.,,Landline,2/4/1994
(204) 347-,"Saint Malo, MB",Mts Inc.,,Landline,2/4/1994
(204) 348-,"Whitemouth, MB",Mts Inc.,,Landline,2/4/1994
(204) 349-,"Falcon Lake, MB",Mts Inc.,,Landline,2/4/1994
(204) 350-,"Lac Du Bonnet, MB",Provincial Tel Inc.,,Landline,
(204) 351-,"Whitemouth, MB",Provincial Tel Inc.,,Landline,
(204) 352-,"Glendon, MB",Mts Inc.,,Landline,2/4/1994
(204) 353-,"Elie, MB",Mts Inc.,,Landline,2/4/1994
(204) 354-,"Brookdale, MB",Mts Inc.,,Landline,2/4/1994
(204) 355-,"Steinbach, MB",Mts Inc.,,Landline,2/4/1994
(204) 356-,"Lynn Lake, MB",Mts Inc.,,Landline,2/4/1994
(204) 357-,"Cormorant, MB",Mts Inc.,,Landline,2/4/1994
(204) 358-,"Snow Lake, MB",Mts Inc.,,Landline,2/4/1994
(204) 359-,"Norway House, MB",Mts Inc.,,Landline,2/4/1994
(204) 360-,"Winnipeg, MB",Mts Inc.,,Landline,
(204) 361-,"Winkler, MB",Mts Inc.,,Landline,8/20/2000
(204) 362-,"Winkler, MB",Mts Inc.,,Landline,7/4/1995
(204) 363-,"Manigotagan, MB",Mts Inc.,,Landline,2/4/1994
(204) 364-,"Vidir, MB",Mts Inc.,,Landline,2/4/1994
(204) 365-,"Strathclair, MB",Mts Inc.,,Landline,2/4/1994
(204) 366-,"Goderich, MB",Mts Inc.,,Landline,2/4/1994
(204) 367-,"Pine Falls, MB",Mts Inc.,,Landline,2/4/1994
(204) 368-,"Arden, MB",Mts Inc.,,Landline,2/4/1994
(204) 369-,"Rennie, MB",Mts Inc.,,Landline,2/4/1994
(204) 370-,"Steinbach, MB",Mts Inc.,,Landline,8/20/2000
(204) 371-,"Steinbach, MB",Mts Inc.,,Landline,10/15/1996
(204) 372-,"Fisher Branch, MB",Mts Inc.,,Landline,2/4/1994
(204) 373-,"Emerson, MB",Mts Inc.,,Landline,2/4/1994
(204) 374-,"South Indian Lake, MB",Mts Inc.,,Landline,2/4/1994
(204) 375-,"Warren, MB",Mts Inc.,,Landline,2/4/1994
(204) 376-,"Vidir, MB",Mts Inc.,,Landline,2/4/1994
(204) 377-,"Steinbach, MB",Mts Inc.,,Landline,2/4/1994
(204) 378-,"Riverton, MB",Mts Inc.,,Landline,2/4/1994
(204) 379-,"Saint Claude, MB",Mts Inc.,,Landline,2/4/1994
(204) 380-,"Steinbach, MB",Mts Inc.,,Cell Number,
(204) 381-,"Steinbach, MB",Rogers Communications Partnership (wireless),,Cell Number,6/13/2000
(204) 382-,"Berens River, MB",Mts Inc.,,Landline,2/4/1994
(204) 383-,"Warren, MB",Mts Inc.,,Landline,2/4/1994
(204) 384-,"Winkler, MB",Rogers Communications Partnership (wireless),,Landline,7/4/1995
(204) 385-,"Gladstone, MB",Mts Inc.,,Landline,2/4/1994
(204) 386-,"Plumas, MB",Mts Inc.,,Landline,2/4/1994
(204) 388-,"Steinbach, MB",Mts Inc.,,Landline,2/4/1994
(204) 389-,"Winnipeg Beach, MB",Mts Inc.,,Landline,2/4/1994
(204) 390-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 391-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 392-,"Steinbach, MB",Mts Inc.,,Landline,5/1/2002
(204) 393-,"Berens River, MB",Provincial Tel Inc.,,Landline,
(204) 394-,"Jacksons Arm, MB",Mts Inc.,,Landline,2/4/1994
(204) 395-,"Bloomfield, MB",Mts Inc.,,Landline,2/4/1994
(204) 396-,"Winnipeg, MB",Rogers Communications Partnership (wireless),,Cell Number,
(204) 397-,"Little Grand Rapids, MB",Mts Inc.,,Landline,2/4/1994
(204) 398-,"Rivers, MB",Provincial Tel Inc.,,Landline,
(204) 399-,"Winnipeg, MB",Telus Mobility,,Cell Number,8/4/2002
(204) 400-,"Portage La Prairie, MB",Iristel Inc.,,Landline,
(204) 402-,"Brandon, MB",Telus Mobility,,Cell Number,
(204) 403-,"Oakbank, MB",Telus Mobility,,Cell Number,
(204) 404-,"Warren, MB",Telus Mobility,,Cell Number,
(204) 405-,"Sanford, MB",Telus Mobility,,Cell Number,
(204) 406-,"Selkirk, MB",Telus Mobility,,Cell Number,
(204) 407-,"Gimli, MB",Telus Mobility,,Cell Number,
(204) 408-,"Steinbach, MB",Telus Mobility,,Cell Number,
(204) 409-,"Winnipeg Beach, MB",Provincial Tel Inc.,,Landline,
(204) 412-,"Rivers, MB",Rogers Communications Partnership (wireless),,Cell Number,10/31/2001
(204) 414-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 415-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 416-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 417-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 418-,"Sanford, MB",Les.net (1996) Inc.,,Landline,
(204) 419-,"Oakbank, MB",Les.net (1996) Inc.,,Landline,
(204) 420-,"Selkirk, MB",Provincial Tel Inc.,,Landline,
(204) 421-,"Winnipeg, MB",Shaw Telecom Inc.,,Landline,
(204) 422-,"Saint Anne Des Chenes, MB",Mts Inc.,,Landline,2/4/1994
(204) 423-,"Piney, MB",Mts Inc.,,Landline,2/4/1994
(204) 424-,"La Broquerie, MB",Mts Inc.,,Landline,2/4/1994
(204) 425-,"Vita, MB",Mts Inc.,,Landline,2/4/1994
(204) 426-,"Hadashville, MB",Mts Inc.,,Landline,2/4/1994
(204) 427-,"Dominion City, MB",Mts Inc.,,Landline,2/4/1994
(204) 428-,"Portage La Prairie, MB",Mts Inc.,,Landline,2/4/1994
(204) 429-,"Woodridge, MB",Mts Inc.,,Landline,2/4/1994
(204) 430-,"Winnipeg, MB",Telus Mobility,,Cell Number,
(204) 432-,"Miami, MB",Provincial Tel Inc.,,Landline,
(204) 433-,"Saint Malo, MB",Mts Inc.,,Landline,2/4/1994
(204) 434-,"Steinbach, MB",Mts Inc.,,Landline,2/4/1994
(204) 435-,"Miami, MB",Mts Inc.,,Landline,2/4/1994
(204) 436-,"Elm Creek, MB",Mts Inc.,,Landline,2/4/1994
(204) 437-,"Sprague, MB",Mts Inc.,,Landline,2/4/1994
(204) 438-,"Selkirk, MB",Provincial Tel Inc.,,Landline,
(204) 439-,"Steinbach, MB",Provincial Tel Inc.,,Landline,
(204) 440-,"Boissevain, MB",Fido Solutions Inc.,,Cell Number,
(204) 441-,"Brandon, MB",Telus Mobility,,Cell Number,
(204) 442-,"Gimli, MB",Fido Solutions Inc.,,Cell Number,
(204) 443-,"Oakbank, MB",Provincial Tel Inc.,,Landline,
(204) 444-,"Oakbank, MB",Mts Inc.,,Landline,2/4/1994
(204) 445-,"Langruth, MB",Mts Inc.,,Landline,2/4/1994
(204) 446-,"Oakbank, MB",Les.net (1996) Inc.,,Landline,
(204) 447-,"Saint Rose Du Lac, MB",Mts Inc.,,Landline,2/4/1994
(204) 448-,"Eddystone, MB",Mts Inc.,,Landline,2/4/1994
(204) 449-,"Steep Rock, MB",Mts Inc.,,Landline,2/4/1994
(204) 450-,"Saint Catharines Thorold, MB",Mts Inc.,,Cell Number,
(204) 451-,"Winnipeg, MB",Mts Inc.,,Cell Number,
(204) 452-,"Winnipeg, MB",Mts Inc.,,Landline,2/4/1994
