Prefix,Primary City,Company,County,Usage,Introduced
(651) 200-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,10/25/10
(651) 201-,"Minneapolis, MN",Centurylink Communications LLC,Hennepin,Landline,10/31/00
(651) 202-,"Minneapolis, MN",New Cingular Wireless PCS - IL,Hennepin,Cell Number,10/5/11
(651) 203-,"Minneapolis, MN",Xo Minnesota,Hennepin,Landline,10/31/00
(651) 204-,"Minneapolis, MN",Broadwing Communications,Hennepin,Landline,3/3/01
(651) 205-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 206-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,4/10/01
(651) 207-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 208-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,5/10/99
(651) 209-,"Minneapolis, MN",Integra Telecom Of Minnesota,Hennepin,Landline,8/20/00
(651) 210-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,1/14/00
(651) 212-,"Red Wing, MN",Level 3 Communications,Goodhue,Landline,7/27/04
(651) 213-,"Lindstrom, MN",Citizens Telecom Co Mn-frontier Citizens Com-mn,Chisago,Landline,11/20/98
(651) 214-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,10/31/00
(651) 215-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 216-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,3/3/01
(651) 217-,"St Croix Beach, MN",Broadwing Communications,Washington,Landline,3/3/01
(651) 219-,"Minneapolis, MN",Aerial Communications,Hennepin,Cell Number,3/14/14
(651) 220-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 221-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 222-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 223-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 224-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 225-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 226-,"Minneapolis, MN",Sprint Spectrum L.p.,Hennepin,Cell Number,1/14/00
(651) 227-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 228-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
(651) 229-,"Saint Paul, MN",Qwest Corporation,Ramsey,Landline,11/20/98
