Prefix,Primary City,Company,County,Usage,Introduced
(717) 200-,"Loysville, PA",Adelphia Business Solutions Of Harrisburg,Perry,Landline,10/14/02
(717) 201-,"Lancaster, PA",New Cingular Wireless PCS - DC,Lancaster,Cell Number,11/20/98
(717) 202-,"Lebanon, PA",Xo Communications Services Inc,Lebanon,Landline,8/14/98
(717) 203-,"Lancaster, PA",D&e/omnipoint Wirel Joint Vent Lp DBA PCS One,Lancaster,Cell Number,7/6/97
(717) 204-,"Newport, PA",Adelphia Business Solutions Of Harrisburg,Perry,Landline,10/14/02
(717) 205-,"Ephrata, PA",Windstream D & E Systems,Lancaster,Landline,3/26/10
(717) 206-,"Harrisburg, PA",Schuylkill Mobile Fone,Dauphin,Cell Number,4/1/97
(717) 207-,"Lancaster, PA",Verizon Pennsylvania,Lancaster,Landline,4/1/97
(717) 208-,"Lancaster, PA",Sprint Spectrum L.p.,Lancaster,Cell Number,3/12/12
(717) 209-,"Lancaster, PA",Verizon Pennsylvania,Lancaster,Landline,4/1/97
(717) 212-,"Harrisburg, PA",Core Communications,Dauphin,Landline,3/18/09
(717) 213-,"Harrisburg, PA",Verizon Pennsylvania,Dauphin,Landline,4/1/97
(717) 214-,"Harrisburg, PA",Adelphia Business Solutions Of Harrisburg,Dauphin,Landline,7/6/97
(717) 215-,"Harrisburg, PA",New Cingular Wireless PCS - DC,Dauphin,Cell Number,11/20/98
(717) 216-,,Level 3 Communications,,Unknown,7/15/14
(717) 217-,"Chambersburg, PA",United Tel Co. Of Pennsylvania DBA Centurylink,Franklin,Landline,4/15/96
(717) 218-,"Carlisle, PA",United Tel Co. Of Pennsylvania DBA Centurylink,Cumberland,Landline,4/15/96
(717) 219-,"Harrisburg, PA",Core Communications,Dauphin,Landline,3/18/09
(717) 220-,"Hummelstown, PA",Windstream D & E Systems,Dauphin,Landline,5/16/01
(717) 221-,"Harrisburg, PA",Verizon Pennsylvania,Dauphin,Landline,1/10/96
(717) 222-,"Lebanon, PA",Sprint Spectrum L.p.- Pa,Lebanon,Cell Number,11/9/01
(717) 224-,"Lancaster, PA",Sprint Spectrum L.p.,Lancaster,Cell Number,3/7/11
(717) 225-,"Spring Grove, PA",Verizon North Inc.-pa,York,Landline,2/4/94
(717) 226-,"Carlisle, PA",Sprint Spectrum L.p.- Pa,Cumberland,Cell Number,6/13/00
(717) 227-,"Glen Rock, PA",Verizon North Inc.-pa,York,Landline,2/4/94
(717) 228-,"Lebanon, PA",Verizon Pennsylvania,Lebanon,Landline,2/4/94
(717) 229-,"Spring Grove, PA",Verizon North Inc.-pa,York,Landline,2/4/94
(717) 230-,"Harrisburg, PA",Verizon Pennsylvania,Dauphin,Landline,2/4/94
(717) 231-,"Harrisburg, PA",Verizon Pennsylvania,Dauphin,Landline,2/4/94
(717) 232-,"Harrisburg, PA",Verizon Pennsylvania,Dauphin,Landline,2/4/94
