Prefix,Primary City,Company,County,Usage,Introduced
(412) 200-,"Pittsburgh, PA",AT&T Local,Allegheny,Landline,2/4/94
(412) 201-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,4/1/97
(412) 202-,"Pittsburgh, PA",Telcove Of Pennsylvania,Allegheny,Landline,2/2/04
(412) 203-,"Coraopolis, PA",Telcove Of Pennsylvania,Allegheny,Landline,6/30/01
(412) 204-,"Pittsburgh, PA",Us Lec Of Pennsylvania,Allegheny,Landline,3/3/01
(412) 205-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,4/15/96
(412) 206-,"Bridgeville, PA",Choice One Communications,Allegheny,Landline,1/14/00
(412) 207-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,4/15/96
(412) 208-,"Pittsburgh, PA",Intermedia Communications Inc.,Allegheny,Landline,4/15/96
(412) 209-,"Pittsburgh, PA",Intermedia Communications Inc.,Allegheny,Landline,4/15/96
(412) 212-,"Bethel Park, PA",Telcove Of Pennsylvania,Allegheny,Landline,10/18/01
(412) 213-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,4/15/96
(412) 215-,"Pittsburgh, PA",Cellco Partnership DBA Verizon Wireless,Allegheny,Cell Number,5/18/98
(412) 216-,"Pittsburgh, PA",Cellco Partnership DBA Verizon Wireless,Allegheny,Cell Number,5/18/98
(412) 217-,"Washington, PA",New Cingular Wireless PCS - IL,Washington,Cell Number,4/15/96
(412) 218-,"Carnegie, PA",Aerial Communications,Allegheny,Cell Number,11/26/13
(412) 219-,"Glenshaw, PA",Us Lec Of Pennsylvania,Allegheny,Landline,10/18/01
(412) 220-,"Bridgeville, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 221-,"Bridgeville, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 222-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,10/13/99
(412) 223-,"Pittsburgh, PA",Core Communications,Allegheny,Landline,7/12/02
(412) 224-,"Pittsburgh, PA",Consolidated Communications Enterprise Services-pa,Allegheny,Landline,6/25/05
(412) 225-,"Pittsburgh, PA",New Cingular Wireless PCS - IL,Allegheny,Cell Number,2/4/94
(412) 226-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,1/14/00
(412) 227-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,11/11/03
(412) 228-,"Pittsburgh, PA",Citynet Pennsylvania,Allegheny,Landline,12/4/03
(412) 229-,"Pittsburgh, PA",Us Lec Of Pennsylvania,Allegheny,Landline,7/19/01
(412) 230-,"Pittsburgh, PA",Leap Wireless Intl DBA Cricket Comm,Allegheny,Cell Number,4/9/12
(412) 231-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 232-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 233-,"Clairton, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 234-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 235-,"Pittsburgh, PA",Global Crossing Local Services-pa,Allegheny,Landline,5/10/99
(412) 236-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 237-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 238-,"Pittsburgh, PA",Global Crossing Local Services-pa,Allegheny,Landline,5/10/99
(412) 240-,"Carnegie, PA",American Messaging (am),Allegheny,Cell Number,1/25/98
(412) 241-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 242-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 243-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 244-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 245-,"Turtle Creek, PA",Telcove Of Pennsylvania,Allegheny,Landline,2/8/01
(412) 246-,"Pittsburgh, PA",Choice One Communications,Allegheny,Landline,7/22/99
(412) 247-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 248-,"Crafton, PA",Full Service Computing Corporation,Allegheny,Landline,9/21/01
(412) 249-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,4/15/96
(412) 250-,"Pittsburgh, PA",Us Lec Of Pennsylvania,Allegheny,Landline,3/3/01
(412) 251-,"Pittsburgh, PA",Comcast Phone Of Pennsylvania,Allegheny,Landline,6/30/01
(412) 252-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,4/15/96
(412) 253-,"Pittsburgh, PA",Paetec Communications,Allegheny,Landline,3/20/01
(412) 254-,"Pittsburgh, PA",Intermedia Communications Inc.,Allegheny,Landline,5/10/99
(412) 255-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 256-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 257-,"Bridgeville, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 258-,"Pittsburgh, PA",Intermedia Communications Inc.,Allegheny,Landline,2/4/94
(412) 259-,"Pittsburgh, PA",Teleport Communications America,Allegheny,Landline,4/15/96
(412) 260-,"Pittsburgh, PA",Cellco Partnership DBA Verizon Wireless,Allegheny,Cell Number,11/11/03
(412) 261-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 262-,"Coraopolis, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 263-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 264-,"Coraopolis, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 265-,"Pittsburgh, PA",Level 3 Communications,Allegheny,Landline,5/21/01
(412) 266-,"Pittsburgh, PA",Cellco Partnership DBA Verizon Wireless,Allegheny,Cell Number,6/13/00
(412) 267-,"Pittsburgh, PA",Telcove Of Pennsylvania,Allegheny,Landline,6/19/01
(412) 268-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 269-,"Coraopolis, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 270-,"Carnegie, PA",Usa Mobility Wireless,Allegheny,Cell Number,1/10/96
(412) 271-,"Braddock, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 272-,"Carnegie, PA",Usa Mobility Wireless,Allegheny,Cell Number,4/15/96
(412) 273-,"Braddock, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 275-,"Pittsburgh, PA",Comcast Phone Of Pennsylvania,Allegheny,Landline,9/2/11
(412) 276-,"Carnegie, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 277-,"Pittsburgh, PA",Leap Wireless Intl DBA Cricket Comm,Allegheny,Cell Number,8/14/02
(412) 278-,"Carnegie, PA",Verizon Pennsylvania,Allegheny,Landline,1/10/96
(412) 279-,"Carnegie, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 280-,"Pittsburgh, PA",Usa Mobility Wireless,Allegheny,Cell Number,4/15/96
(412) 281-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 282-,"Pittsburgh, PA",Global Crossing Local Services-pa,Allegheny,Landline,5/10/99
(412) 283-,"Bethel Park, PA",Consolidated Communications Enterprise Services-pa,Allegheny,Landline,6/13/00
(412) 285-,"Pittsburgh, PA",Xo Communications Services Inc,Allegheny,Landline,8/12/09
(412) 287-,"Pittsburgh, PA",Sprint Spectrum L.p.,Allegheny,Cell Number,2/4/94
(412) 288-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,2/4/94
(412) 289-,"Indiana, PA",Cellco Partnership DBA Verizon Wireless,Indiana,Cell Number,2/4/94
(412) 290-,"Pittsburgh, PA",Leap Wireless Intl DBA Cricket Comm,Allegheny,Cell Number,7/14/09
(412) 291-,"Pittsburgh, PA",Verizon Pennsylvania,Allegheny,Landline,10/11/97
(412) 292-,"Bridgeville, PA",Sprint Spectrum L.p.,Allegheny,Cell Number,7/1/96
(412) 293-,"Pittsburgh, PA",Usa Mobility Wireless,Allegheny,Cell Number,7/1/96
(412) 294-,"Carnegie, PA",Telcove Of Pennsylvania,Allegheny,Landline,5/21/01
