Prefix,Primary City,Company,County,Usage,Introduced
(513) 200-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,1/25/98
(513) 201-,"Cincinnati, OH",Windstream Nuvox Ohio,Hamilton,Landline,8/20/00
(513) 202-,"Harrison, OH",Cincinnati Bell,Hamilton,Landline,7/4/95
(513) 203-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,1/4/01
(513) 204-,"Mason, OH",Cincinnati Bell Extended Territories LLC,Warren,Landline,12/9/03
(513) 205-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,7/6/01
(513) 206-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,10/17/07
(513) 207-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,8/6/01
(513) 208-,"Cincinnati, OH",T-mobile Usa,Hamilton,Cell Number,10/9/09
(513) 209-,"Evendale, OH",Usa Mobility Wireless,Hamilton,Cell Number,1/10/96
(513) 210-,"Evendale, OH",Usa Mobility Wireless,Hamilton,Cell Number,1/10/96
(513) 212-,"Cincinnati, OH",New Cingular Wireless PCS - IL,Hamilton,Cell Number,10/6/11
(513) 213-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,8/6/01
(513) 214-,"Cincinnati, OH",Level 3 Communications,Hamilton,Landline,3/11/11
(513) 215-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,3/11/13
(513) 217-,"Middletown, OH",Cincinnati Bell Extended Territories LLC,Butler,Landline,10/30/03
(513) 218-,"Cincinnati, OH",Cellco Partnership DBA Verizon Wireless,Hamilton,Cell Number,1/10/96
(513) 219-,"Cincinnati, OH",American Messaging (am),Hamilton,Cell Number,4/15/96
(513) 221-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 222-,"Cincinnati, OH",Cellco Partnership DBA Verizon Wireless,Hamilton,Cell Number,5/17/11
(513) 223-,"Cincinnati, OH",T-mobile Usa,Hamilton,Cell Number,10/9/09
(513) 224-,"Middletown, OH",American Messaging (am),Butler,Cell Number,1/25/98
(513) 225-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,1/25/98
(513) 226-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,1/25/98
(513) 227-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,1/25/98
(513) 228-,"Cincinnati, OH",Cincinnati Bell Extended Territories LLC,Hamilton,Landline,1/25/98
(513) 229-,"Rossmoyne, OH",Cincinnati Bell Extended Territories LLC,Hamilton,Landline,7/22/99
(513) 230-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Cell Number,2/4/94
(513) 231-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 232-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 233-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,1/25/98
(513) 234-,"Mason, OH",Intermedia Communications Inc.,Warren,Landline,10/13/99
(513) 235-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,5/10/99
(513) 236-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,5/10/99
(513) 237-,"Cincinnati, OH",T-mobile Usa,Hamilton,Cell Number,5/10/99
(513) 238-,"Cincinnati, OH",T-mobile Usa,Hamilton,Cell Number,5/10/99
(513) 239-,"Milford, OH",Intermedia Communications Inc.,Clermont,Landline,7/22/99
(513) 240-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,5/20/03
(513) 241-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 242-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 243-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 244-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 245-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 246-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,7/22/99
(513) 247-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 248-,"Milford, OH",Cincinnati Bell,Clermont,Landline,2/4/94
(513) 249-,"Evendale, OH",Usa Mobility Wireless,Hamilton,Cell Number,2/4/94
(513) 250-,"Cincinnati, OH",T-mobile Usa,Hamilton,Cell Number,10/9/09
(513) 251-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,2/4/94
(513) 252-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,7/22/99
(513) 253-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,7/22/99
(513) 254-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,7/22/99
(513) 255-,"Oxford, OH",Cellco Partnership DBA Verizon Wireless,Butler,Cell Number,1/25/98
(513) 256-,"Cincinnati, OH",Cellco Partnership DBA Verizon Wireless,Hamilton,Cell Number,7/22/99
(513) 257-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,7/22/99
(513) 258-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,7/22/99
(513) 259-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,7/22/99
(513) 260-,"Cincinnati, OH",Cellco Partnership DBA Verizon Wireless,Hamilton,Cell Number,9/11/94
(513) 261-,"Middletown, OH",Tw Telecom Of Ohio LLC,Butler,Landline,12/20/01
(513) 262-,"Cincinnati, OH",Cellco Partnership DBA Verizon Wireless,Hamilton,Cell Number,7/22/99
(513) 263-,"Cincinnati, OH",Cincinnati Bell,Hamilton,Landline,7/22/99
(513) 264-,"Cincinnati, OH",Cincinnati Bell Wireless,Hamilton,Cell Number,10/13/99
(513) 265-,"Cincinnati, OH",Cellco Partnership DBA Verizon Wireless,Hamilton,Cell Number,7/22/99
(513) 266-,"Cincinnati, OH",Sprint Spectrum L.p.,Hamilton,Cell Number,10/13/99
