"Fennimore High School, Fennimore",21
"Lancaster High School, Lancaster [21]",21
"Platteville High School, Platteville [22]",21
"Potosi High School, Potosi",21
"River Ridge High School, Patch Grove",21
"Riverdale High School, Muscoda [23]",21
"Southwestern Wisconsin High School, Hazel Green",21
Green County,22
"Albany High School, Albany [24]",22
"Brodhead High School, Brodhead",22
"Juda High School, Juda",22
"Monroe High School, Monroe",22
"Monticello High School, Monticello",22
"New Glarus High School, New Glarus",22
Green Lake County,23
"Berlin High School, Berlin [25]",23
"Green Lake High School, Green Lake",23
"Markesan High School, Markesan",23
"Princeton High School, Princeton",23
Iowa County,24
"Barneveld High School, Barneveld",24
"Dodgeville High School, Dodgeville",24
"Highland High School, Highland",24
"Iowa-Grant High School, Livingston",24
"Mineral Point High School, Mineral Point",24
Iron County,25
"Hurley K-12 School, Hurley",25
"Mercer High School, Mercer",25
Jackson County,26
"Black River Falls High School, Black River Falls",26
"Lincoln High School, Alma Center [26]",26
"Melrose-Mindoro High School, Melrose",26
Jefferson County,27
"Cambridge High School, Cambridge [27]",27
"Fort Atkinson High School, Fort Atkinson",27
"Jefferson High School, Jefferson [28]",27
"Johnson Creek High School, Johnson Creek",27
"Lake Mills High School, Lake Mills",27
"Lakeside Lutheran High School, Lake Mills",27
"Luther Preparatory School, Watertown (formerly Northwestern Preparatory School)",27
"Maranatha Baptist Academy, Watertown",27
"Palmyra-Eagle High School, Palmyra",27
"Waterloo High School, Waterloo [29]",27
Juneau County,28
"Mauston High School, Mauston",28
"Necedah High School, Necedah",28
"New Lisbon High School, New Lisbon, [30]",28
"Royall High School, Elroy",28
"Wonewoc-Center High School, Wonewoc",28
Kenosha County,29
"Mary D. Bradford High School, Kenosha",29
"Christian Life High School, Kenosha",29
"Indian Trail Academy, Kenosha",29
"Harborside Academy, Kenosha",29
"Hillcrest School, Kenosha",29
"Lakeview Tech Academy, Pleasant Prairie",29
"Walter Reuther Central High School, Kenosha",29
"St. Joseph High School, Kenosha",29
"Shoreland Lutheran High School, Somers",29
"George Nelson Tremper High School, Kenosha",29
"Westosha Central High School, Salem",29
"Wilmot Union High School, Wilmot",29
Kewaunee County,30
"Algoma High School, Algoma",30
"Kewaunee High School, Kewaunee",30
"Luxemburg-Casco High School, Luxemburg",30
La Crosse County,31
"Aquinas High School, La Crosse",31
"Bangor High School, Bangor",31
"Coulee Region Christian School, West Salem",31
"Holmen High School, Holmen",31
"LaCrossroads Charter School, La Crosse",31
"La Crosse Central High School, La Crosse",31
"Logan High School, La Crosse",31
"Luther High School, Onalaska",31
"Onalaska High School, Onalaska",31
"Providence Academy, La Crosse",31
"West Salem High School, West Salem",31
Lafayette County,32
"Argyle High School, Argyle",32
"Belmont High School, Belmont [31]",32
"Benton High School, Benton",32
"Black Hawk High School, South Wayne",32
"Darlington High School, Darlington",32
"Pecatonica High School, Blanchardville",32
"Shullsburg High School, Shullsburg",32
Langlade County,33
"Antigo High School, Antigo",33
"Elcho High School, Elcho",33
"White Lake High School, White Lake",33
Lincoln County,34
"Lincoln Hills School, Irma",34
"Merrill High School, Merrill",34
"Tomahawk High School, Tomahawk",34
"New Testament Church Christian Academy, Merrill",34
Manitowoc County,35
"Kiel High School, Kiel",35
"Lincoln High School, Manitowoc",35
"Manitowoc Lutheran High School, Manitowoc",35
"Mishicot High School, Mishicot",35
"Reedsville High School, Reedsville",35
"Roncalli High School, Manitowoc",35
"Two Rivers High School, Two Rivers",35
"Valders High School, Valders",35
Marathon County,36
"Athens High School, Athens [32]",36
"Edgar High School, Edgar",36
"D.C. Everest High School, Weston [33]",36
"Faith Christian Academy, Wausau",36
"Marathon High School, Marathon [34]",36
"Mosinee High School, Mosinee",36
"Newman Catholic High School, Wausau",36
"Northland Lutheran High School, Kronenwetter",36
"Spencer High School, Spencer",36
"Stratford High School, Stratford [35]",36
"Wausau East High School, Wausau",36
"Wausau West High School, Wausau",36
"Wisconsin Valley Lutheran High School, Mosinee",36
Marinette County,37
"Coleman High School, Coleman",37
"Crivitz High School, Crivitz",37
"Goodman High School, Goodman",37
"Catholic Central High School, Marinette",37
"Marinette High School, Marinette",37
"Niagara High School, Niagara",37
"Pembine High School, Pembine",37
"Peshtigo High School, Peshtigo",37
"Wausaukee High School, Wausaukee",37
"Pioneer Christian School, Beecher - www.pioneercs.org",37
Marquette County,38
"Montello High School, Montello",38
"Westfield Area High School, Westfield",38
Menomonee County,39
"Menomonee Indian High School, Keshena",39
Milwaukee County,40
City of Milwaukee,40
"Afro Urban Institute, Milwaukee",40
"Alliance High School, Milwaukee",40
"Assata School, Milwaukee",40
"Bay View High School, Milwaukee",40
Believers in Christ Academy High School,40
"Bradley Technology & Trade High School, Milwaukee",40
"Cornerstone Achievement Academy, Milwaukee",40
"Custer High School, Milwaukee",40
"Destiny High School, Milwaukee",40
"Divine Savior Holy Angels High School, Milwaukee",40
"Eastbrook Academy, Milwaukee",40
"El Puente High School, Milwaukee",40
"Hamilton High School, Milwaukee",40
"HR Academy, Milwaukee",40
"Juneau High School, Milwaukee",40
"Learning Enterprise of Wisconsin School, Milwaukee",40
"Loyola Academy, Milwaukee",40
"Madison High School, Milwaukee",40
"Marquette University High School, Milwaukee",40
"Marshall High School, Milwaukee",40
"Messmer High School, Milwaukee",40
"Metropolitan High School, Milwaukee",40
"Milwaukee High School of the Arts, Milwaukee",40
"Milwaukee Lutheran High School, Milwaukee",40
"Milwaukee School of Entrepreneurship, Milwaukee",40
"Milwaukee Spectrum School, Milwaukee",40
"New School for Community Service, Milwaukee",40
"North Division High School, Milwaukee",40
"Nova School, Milwaukee",40
"Pius XI High School, Milwaukee",40
"Phoenix School, Milwaukee",40
"Pulaski High School, Milwaukee",40
"Ronald Wilson Reagan College Preparatory High School, City of Milwaukee",40
"Riverside University High School, Milwaukee",40
"Rufus King High School, Milwaukee",40
"St. Anthony High School, Milwaukee",40
"St. Joan Antida High School, Milwaukee",40
"Shalom High School, Milwaukee",40
"South Division High School, Milwaukee",40
"Spotted Eagle High School, Milwaukee",40
"Tenor High School, Milwaukee",40
"Veritas High School, Milwaukee",40
"Vincent High School, Milwaukee",40
"Washington High School, Milwaukee",40
"Aurora Weier Educational Center, Milwaukee",40
"Wisconsin Institute for Torah Study, Milwaukee",40
"Wisconsin Lutheran High School, Milwaukee",40
"Brown Deer High School, Brown Deer",40
"Cudahy High School, Cudahy",40
"Dominican High School, Whitefish Bay",40
"Martin Luther High School, Greendale",40
"Franklin High School, Franklin",40
"Greendale High School, Greendale",40
"Greenfield High School, Greenfield",40
"Heritage Christian School, West Allis",40
"Kradwell School, Wauwatosa",40
"Nathan Hale High School, West Allis [36]",40
"Nicolet High School, Glendale",40
"Oak Creek High School, Oak Creek",40
"Saint Francis High School, Saint Francis",40
"Saint Thomas More High School, St. Francis",40
"Shorewood High School, Shorewood",40
"South Milwaukee High School, South Milwaukee",40
"Torah Academy of Milwaukee (TAM), Glendale",40
"University School of Milwaukee, River Hills",40
"Wauwatosa East High School, Wauwatosa",40
"Wauwatosa West High School, Wauwatosa",40
"West Allis Central High School, West Allis",40
"Whitefish Bay High School, Whitefish Bay",40
"Whitnall High School, Greenfield",40
Monroe County,41
"Cashton High School, Cashton",41
"Sparta High School, Sparta",41
"High Point Charter School, Sparta",41
"Tomah High School, Tomah, (actually named Ronald Reagan High School, but is commonly referred to as Tomah)",41
Oconto County,42
"Gillett High School, Gillett",42
"Lena High School, Lena",42
"Oconto Falls High School, Oconto Falls",42
"Oconto High School, Oconto",42
"Suring High School, Suring",42
Oneida County,43
"Lakeland Union High School, Minocqua [37]",43
"Rhinelander High School, Rhinelander",43
"Three Lakes High School, Three Lakes",43
Outagamie County,44
"Appleton East High School, Appleton",44
"Appleton North High School, Appleton",44
"Appleton West High School, Appleton",44
"Fox Valley Lutheran High School, Appleton",44
"Freedom High School, Freedom [38]",44
"Hortonville High School, Hortonville",44
"Kaukauna High School, Kaukauna",44
"Kimberly High School, Kimberly [39]",44
"Little Chute High School, Little Chute",44
"Seymour Community High School, Seymour [40]",44
"Shiocton High School, Shiocton",44
"Xavier High School, Appleton",44
Ozaukee County,45
"Cedarburg High School, Cedarburg",45
"Grafton High School, Grafton",45
"Homestead High School, Mequon",45
"Ozaukee High School, Fredonia",45
"Port Washington High School, Port Washington",45
Pepin County,46
"Durand High School, Durand [41]",46
"Pepin High School, Pepin [42]",46
Pierce County,47
"Ellsworth High School, Ellsworth",47
"Elmwood High School, Elmwood",47
"Plum City High School, Plum City",47
"Prescott High School, Prescott",47
"River Falls High School, River Falls",47
"Spring Valley High School, Spring Valley",47
Polk County,48
"Amery High School, Amery",48
"Clayton High School, Clayton [43]",48
"Clear Lake High School, Clear Lake [44]",48
"Frederic High School, Frederic",48
"Luck High School, Luck",48
"Osceola High School, Osceola [45]",48
"Saint Croix Falls High School, Saint Croix Falls",48
"Unity High School, Balsam Lake [46]",48
Portage County,49
"Almond-Bancroft High School, Almond",49
"Amherst High School, Amherst [47]",49
"Rosholt High School, Rosholt",49
"Pacelli High School, Stevens Point",49
"Stevens Point Area Senior High (SPASH), Stevens Point",49
Price County,50
"Park Falls High School, Park Falls",50
"Phillips High School, Phillips",50
"Prentice High School, Prentice",50
Racine County,60
"Burlington High School, Burlington",60
"Jerome I. Case High School, Racine",60
"Burlington Catholic Central High School, Burlington",60
"William Horlick High School, Racine",60
"Racine Lutheran High School, Racine",60
"Keith R Mack Achievement Center, Racine",60
"The Prairie School, Wind Point",60
"St. Catherine's High School, Racine",60
"Union Grove High School, Union Grove",60
"Walden III Middle/High School, Racine",60
"Washington Park High School, Racine",60
"Waterford Union High School, Waterford",60
"W. Brimley High School, Waterford",60
Richland County,61
"Ithaca High School, Richland Center [48]",61
"Richland Center High School, Richland Center",61
"Eagle High School, Richland Center",61
Rock County,62
"Beloit Memorial High School, Beloit",62
"Clinton High School, Clinton [49]",62
"Joseph A. Craig High School, Janesville",62
"Edgerton High School, Edgerton",62
"Evansville High School, Evansville [50]",62
"Milton High School, Milton [51]",62
"Oakhill Christian School, Janesville",62
"George S. Parker High School, Janesville",62
"Parkview High School, Orfordville",62
"Rock River Charter School, Janesville",62
"Turner High School, Town of Beloit",62
Rusk County,63
"Bruce High School, Bruce",63
"Flambeau High School, Tony",63
"Ladysmith High School, Ladysmith",63
St. Croix County,64
"Baldwin-Woodville High School, Baldwin",64
"Glenwood City High School, Glenwood City",64
"Hudson High School, Hudson [52]",64
"New Richmond High School, New Richmond",64
"Saint Croix Central High School, Hammond",64
"Somerset High School, Somerset [53]",64
Sauk County,65
"Baraboo High School, Baraboo",65
"Community Christian School, Baraboo [54]",65
"Reedsburg Area High School, Reedsburg",65
"River Valley High School, Spring Green [55]",65
"Sauk Prairie High School, Prairie du Sac",65
"Weston High School, Cazenovia [56]",65
Sawyer County,66
"Hayward High School, Hayward",66
"Lac Courte Oreilles Ojibwe High School, Hayward",66
"Winter High School, Winter",66
Shawano County,67
"Bonduel High School, Bonduel",67
"Bowler High School, Bowler",67
"Gresham High School, Gresham",67
"Shawano High School, Shawano",67
"Tigerton High School, Tigerton",67
"Wittenberg-Birnamwood High School, Wittenberg",67
"Wolf River Lutheran High School, Shawano",67
Sheboygan County,68
"Cedar Grove-Belgium High School, Cedar Grove",68
"Elkhart Lake-Glenbeulah High School, Elkhart Lake",68
"Howards Grove High School, Howards Grove",68
"Kohler High School, Kohler",68
"Oostburg High School, Oostburg",68
"Plymouth High School, Plymouth",68
"Random Lake High School, Random Lake",68
"Sheboygan County Christian High School, Sheboygan",68
"Sheboygan Falls High School, Sheboygan Falls",68
"Sheboygan Area Lutheran High School, Sheboygan",68
"Sheboygan North High School, Sheboygan",68
"Sheboygan South High School, Sheboygan",68
Taylor County,69
"Gilman High School, Gilman",69
"Medford High School, Medford",69
"Rib Lake High School, Rib Lake",69
Trempealeau County,69
"Arcadia High School, Arcadia [57]",69
"Blair-Taylor High School, Blair",69
"Gale-Ettrick-Tremp High School, Galesville",69
"Independence High School, Independence [58]",69
"Osseo-Fairchild High School, Osseo",69
"Whitehall High School, Whitehall",69
"Eleva-Strum High School, Strum [59]",69
Vernon County,70
"Better Futures High School, Viroqua",70
"Brookwood High School, Ontario [60]",70
"Cornerstone Christian Academy, Viroqua",70
"De Soto High School, De Soto",70
"Hillsboro High School, Hillsboro",70
"Kickapoo High School, Viola [61]",70
"La Farge High School, La Farge",70
"Laurel High School, Viroqua [62]",70
"Viroqua High School, Viroqua",70
"Westby Area High School, Westby",70
"Youth Initiative High School, Viroqua [63]",70
Vilas County,71
"Conserve School, Land O' Lakes",71
"Northland Pines High School, Eagle River",71
"Phelps High School, Phelps",71
Walworth County,72
"Badger High School, Lake Geneva",72
"Big Foot High School, Walworth",72
"Delavan-Darien High School, Delavan",72
"East Troy High School, East Troy",72
"Elkhorn Area High School, Elkhorn",72
"Faith Christian High School, Williams Bay",72
"Whitewater High School, Whitewater",72
"Williams Bay High School, Williams Bay",72
Washburn County,73
"Birchwood High School, Birchwood",73
"Shell Lake High School, Shell Lake",73
"Spooner High School, Spooner",73
"Northwoods High School, Minong",73
Washington County,74
"Germantown High School, Germantown",74
"Hartford Union High School, Hartford",74
"Kettle Moraine Lutheran High School, Jackson",74
"Kewaskum High School, Kewaskum",74
"Living Word Lutheran High School, Jackson",74
"Slinger High School, Slinger",74
"West Bend East High School, West Bend",74
"West Bend West High School, West Bend",74
Waukesha County,75
"Arrowhead High School, Hartland",75
"Brookfield Academy, Brookfield",75
"Brookfield Central High School, Brookfield",75
"Brookfield East High School, Brookfield",75
"Catholic Memorial High School, Waukesha",75
"Ethan Allen School, Wales",75
"Hamilton High School, Sussex [64]",75
"Kettle Moraine High School, Wales",75
"Lake Country Lutheran High School, Oconomowoc",75
"Menomonee Falls High School, Menomonee Falls",75
"Mukwonago High School, Mukwonago",75
"Muskego High School, Muskego",75
"New Berlin Eisenhower Middle/High School, New Berlin",75
"New Berlin West Middle/High School, New Berlin",75
"Norris High School, Mukwonago",75
"Oconomowoc High School, Oconomowoc",75
"Pewaukee High School, Pewaukee",75
"Harvey Philip Alternative Charter School, Waukesha",75
"St. John's Northwestern Military Academy, Delafield",75
"University Lake School, Hartland",75
"Waukesha Christian Academy, Waukesha",75
"Waukesha North High School, Waukesha",75
"Waukesha South High School, Waukesha",75
"Waukesha West High School, Waukesha",
Waupaca County,76
"Clintonville High School, Clintonville",76
"Iola-Scandinavia High School, Iola",76
"Little Wolf High School, Manawa",76
"Marion High School, Marion",76
"New London High School, New London",76
"Starr Academy, New London",76
"Waupaca High School, Waupaca",76
"Weyauwega-Fremont High School, Weyauwega",76
Waushara County,77
